學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,4年級計,4年級男,4年級女,延修生計,延修生男,延修生女
106學年,總計,745460,400490,344970,236574,128790,107784,252415,134701,117714,255295,136121,119174,86,33,53,1090,845,245
106學年,未滿14歲,5,2,3,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-
106學年,14至未滿15歲,948,496,452,946,495,451,2,1,1,-,-,-,-,-,-,-,-,-
106學年,15至未滿16歲,216707,116931,99776,215823,116480,99343,862,443,419,22,8,14,-,-,-,-,-,-
106學年,16至未滿17歲,246814,132081,114733,11785,7198,4587,233724,124229,109495,1305,654,651,-,-,-,-,-,-
106學年,17至未滿18歲,252091,134720,117371,3134,1957,1177,11021,6503,4518,237932,126258,111674,1,-,1,3,2,1
106學年,18至未滿19歲,14453,8755,5698,1187,748,439,2656,1535,1121,9890,5922,3968,56,22,34,664,528,136
106學年,19至未滿20歲,4201,2535,1666,717,447,270,969,559,410,2198,1295,903,15,5,10,302,229,73
106學年,20至未滿21歲,2231,1286,945,517,315,202,625,331,294,970,557,413,8,3,5,111,80,31
106學年,21至未滿22歲,1253,752,501,285,186,99,407,226,181,552,334,218,2,2,-,7,4,3
106學年,22歲以上,6757,2932,3825,2175,962,1213,2149,874,1275,2426,1093,1333,4,1,3,3,2,1
105學年,總計,776113,416708,359405,265823,143665,122158,262143,140517,121626,246917,131615,115302,133,54,79,1097,857,240
105學年,未滿14歲,5,3,2,4,2,2,1,1,-,-,-,-,-,-,-,-,-,-
105學年,14至未滿15歲,947,510,437,944,508,436,3,2,1,-,-,-,-,-,-,-,-,-
105學年,15至未滿16歲,246657,132356,114301,245261,131647,113614,1393,708,685,3,1,2,-,-,-,-,-,-
105學年,16至未滿17歲,256147,137284,118863,11889,7145,4744,242918,129472,113446,1340,667,673,-,-,-,-,-,-
105學年,17至未滿18歲,240212,128072,112140,2567,1677,890,10943,6533,4410,226697,119857,106840,-,-,-,5,5,-
105學年,18至未滿19歲,16202,9987,6215,1182,730,452,2442,1505,937,11767,7147,4620,94,40,54,717,565,152
105學年,19至未滿20歲,4992,3120,1872,788,452,336,1142,670,472,2723,1746,977,24,9,15,315,243,72
105學年,20至未滿21歲,2342,1443,899,523,323,200,624,382,242,1140,700,440,6,1,5,49,37,12
105學年,21至未滿22歲,1185,653,532,316,182,134,333,177,156,525,287,238,2,2,-,9,5,4
105學年,22歲以上,7424,3280,4144,2349,999,1350,2344,1067,1277,2722,1210,1512,7,2,5,2,2,-
104學年,總計,792290,426169,366121,275250,149379,125871,253785,136187,117598,261770,139591,122179,657,320,337,828,692,136
104學年,未滿14歲,3,2,1,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,14至未滿15歲,1611,878,733,1604,875,729,6,3,3,1,-,1,-,-,-,-,-,-
104學年,15至未滿16歲,255623,137659,117964,254219,136947,117272,1397,708,689,7,4,3,-,-,-,-,-,-
104學年,16至未滿17歲,244219,130469,113750,11079,6699,4380,231960,123175,108785,1180,595,585,-,-,-,-,-,-
104學年,17至未滿18歲,253238,135167,118071,2894,1878,1016,12186,7574,4612,238087,125657,112430,2,2,-,69,56,13
104學年,18至未滿19歲,20484,12592,7892,1396,878,518,3274,2124,1150,14759,8884,5875,490,241,249,565,465,100
104學年,19至未滿20歲,5914,3818,2096,809,500,309,1395,884,511,3407,2224,1183,127,55,72,176,155,21
104學年,20至未滿21歲,2347,1399,948,466,285,181,620,356,264,1221,733,488,26,13,13,14,12,2
104學年,21至未滿22歲,1207,693,514,297,176,121,412,236,176,490,274,216,7,6,1,1,1,-
