學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
106學年,總計,745460,400490,344970,208406,113897,94509,193442,104833,88609,15799,7914,7885,327813,173846,153967
106學年,新北市,90161,47467,42694,1594,702,892,44790,24634,20156,-,-,-,43777,22131,21646
106學年,臺北市,103697,53995,49702,4241,2563,1678,61725,33730,27995,-,-,-,37731,17702,20029
106學年,桃園市,79009,42854,36155,21284,11686,9598,10754,5069,5685,-,-,-,46971,26099,20872
106學年,臺中市,100813,53600,47213,4587,2333,2254,39298,21984,17314,-,-,-,56928,29283,27645
106學年,臺南市,58857,32207,26650,31688,17673,14015,1856,923,933,-,-,-,25313,13611,11702
106學年,高雄市,86409,47231,39178,13981,7842,6139,35019,18493,16526,-,-,-,37409,20896,16513
106學年,宜蘭縣,13311,7403,5908,11657,6377,5280,-,-,-,295,148,147,1359,878,481
106學年,新竹縣,14328,8127,6201,4733,2495,2238,-,-,-,1434,675,759,8161,4957,3204
106學年,苗栗縣,17758,9353,8405,9472,4844,4628,-,-,-,2040,953,1087,6246,3556,2690
106學年,彰化縣,40910,22413,18497,26542,14557,11985,-,-,-,3100,1509,1591,11268,6347,4921
106學年,南投縣,15243,8048,7195,10851,5785,5066,-,-,-,699,302,397,3693,1961,1732
106學年,雲林縣,20310,11450,8860,10460,5756,4704,-,-,-,1213,668,545,8637,5026,3611
106學年,嘉義縣,10276,6292,3984,2991,2141,850,-,-,-,758,361,397,6527,3790,2737
106學年,屏東縣,20949,11773,9176,12551,7268,5283,-,-,-,2022,906,1116,6376,3599,2777
106學年,臺東縣,6186,3496,2690,4603,2483,2120,-,-,-,53,36,17,1530,977,553
106學年,花蓮縣,10673,5776,4897,6570,3681,2889,-,-,-,132,82,50,3971,2013,1958
106學年,澎湖縣,2622,1423,1199,2622,1423,1199,-,-,-,-,-,-,-,-,-
106學年,基隆市,11746,6192,5554,5706,2800,2906,-,-,-,1277,766,511,4763,2626,2137
106學年,新竹市,20454,10543,9911,8564,4509,4055,-,-,-,2776,1508,1268,9114,4526,4588
106學年,嘉義市,19333,9526,9807,11294,5658,5636,-,-,-,-,-,-,8039,3868,4171
106學年,金門縣,2111,1144,967,2111,1144,967,-,-,-,-,-,-,-,-,-
106學年,連江縣,304,177,127,304,177,127,-,-,-,-,-,-,-,-,-
105學年,總計,776113,416708,359405,241991,133290,108701,163662,87487,76175,15355,7780,7575,355105,188151,166954
105學年,新北市,94332,49636,44696,1596,714,882,44730,24677,20053,-,-,-,48006,24245,23761
105學年,臺北市,108182,56264,51918,4197,2504,1693,62280,34171,28109,-,-,-,41705,19589,22116
105學年,桃園市,81636,44356,37280,21285,11578,9707,10556,4968,5588,-,-,-,49795,27810,21985
105學年,臺中市,105226,56091,49135,34880,20129,14751,8666,4080,4586,-,-,-,61680,31882,29798
105學年,臺南市,61815,33662,28153,32204,17941,14263,1854,895,959,-,-,-,27757,14826,12931
105學年,高雄市,89805,48923,40882,14208,7934,6274,35576,18696,16880,-,-,-,40021,22293,17728
105學年,宜蘭縣,13901,7785,6116,12210,6720,5490,-,-,-,281,152,129,1410,913,497
105學年,新竹縣,14678,8212,6466,4757,2411,2346,-,-,-,1172,548,624,8749,5253,3496
105學年,苗栗縣,18386,9645,8741,9604,4874,4730,-,-,-,1990,917,1073,6792,3854,2938
105學年,彰化縣,42546,23244,19302,26828,14732,12096,-,-,-,3010,1482,1528,12708,7030,5678
105學年,南投縣,15643,8250,7393,10985,5841,5144,-,-,-,716,329,387,3942,2080,1862
105學年,雲林縣,21444,12076,9368,10612,5853,4759,-,-,-,1222,653,569,9610,5570,4040
105學年,嘉義縣,10462,6423,4039,3029,2153,876,-,-,-,701,332,369,6732,3938,2794
105學年,屏東縣,22018,12458,9560,12930,7554,5376,-,-,-,2026,947,1079,7062,3957,3105
105學年,臺東縣,6388,3585,2803,4691,2543,2148,-,-,-,43,33,10,1654,1009,645
105學年,花蓮縣,11284,6188,5096,6784,3860,2924,-,-,-,153,93,60,4347,2235,2112
105學年,澎湖縣,2733,1504,1229,2733,1504,1229,-,-,-,-,-,-,-,-,-
105學年,基隆市,12768,6749,6019,6170,3001,3169,-,-,-,1287,792,495,5311,2956,2355
105學年,新竹市,20732,10663,10069,8522,4504,4018,-,-,-,2754,1502,1252,9456,4657,4799
105學年,嘉義市,19698,9647,10051,11330,5593,5737,-,-,-,-,-,-,8368,4054,4314
105學年,金門縣,2112,1156,956,2112,1156,956,-,-,-,-,-,-,-,-,-
105學年,連江縣,324,191,133,324,191,133,-,-,-,-,-,-,-,-,-
104學年,總計,792290,426169,366121,247817,136016,111801,166616,89288,77328,14443,7266,7177,363414,193599,169815
104學年,新北市,95947,51080,44867,1627,759,868,44401,24730,19671,-,-,-,49919,25591,24328
104學年,臺北市,112341,58469,53872,4243,2552,1691,65077,35638,29439,-,-,-,43021,20279,22742
104學年,桃園市,82475,44808,37667,21740,11681,10059,10470,4878,5592,-,-,-,50265,28249,22016
104學年,臺中市,107057,57012,50045,35637,20315,15322,8612,4056,4556,-,-,-,62808,32641,30167
104學年,臺南市,63333,34536,28797,32963,18411,14552,1883,917,966,-,-,-,28487,15208,13279
104學年,高雄市,92090,50224,41866,14403,8006,6397,36173,19069,17104,-,-,-,41514,23149,18365
104學年,宜蘭縣,14316,8047,6269,12676,6986,5690,-,-,-,295,164,131,1345,897,448
104學年,新竹縣,14774,8293,6481,4831,2409,2422,-,-,-,874,401,473,9069,5483,3586
104學年,苗栗縣,18676,9976,8700,9742,4996,4746,-,-,-,1992,946,1046,6942,4034,2908
104學年,彰化縣,43378,23583,19795,27510,15050,12460,-,-,-,2608,1266,1342,13260,7267,5993
104學年,南投縣,15981,8432,7549,11365,6031,5334,-,-,-,742,355,387,3874,2046,1828
104學年,雲林縣,21671,12231,9440,10862,6060,4802,-,-,-,1195,622,573,9614,5549,4065
104學年,嘉義縣,10624,6556,4068,3063,2171,892,-,-,-,660,313,347,6901,4072,2829
104學年,屏東縣,22522,12786,9736,13352,7829,5523,-,-,-,1948,896,1052,7222,4061,3161
