學年別,取得證書科別,高級中等學校總計,高級中等學校國立,高級中等學校直轄市立,高級中等學校縣市立,高級中等學校私立,高級中學總計,高級中學國立,高級中學直轄市立,高級中學縣市立,高級中學私立,職業學校總計,職業學校國立,職業學校直轄市立,職業學校縣市立,職業學校私立
106學年,總計,53943,15412,17800,3087,17644,-,-,-,-,-,-,-,-,-,-
106學年,國文,7696,2031,2675,510,2480,-,-,-,-,-,-,-,-,-,-
106學年,英文,6705,1775,2296,417,2217,-,-,-,-,-,-,-,-,-,-
106學年,數學,6480,1731,2275,401,2073,-,-,-,-,-,-,-,-,-,-
106學年,歷史,1697,400,669,134,494,-,-,-,-,-,-,-,-,-,-
106學年,地理,1678,419,678,125,456,-,-,-,-,-,-,-,-,-,-
106學年,公民與社會,1438,389,575,90,384,-,-,-,-,-,-,-,-,-,-
106學年,基礎物理,1574,414,603,130,427,-,-,-,-,-,-,-,-,-,-
106學年,基礎化學,1584,422,601,100,461,-,-,-,-,-,-,-,-,-,-
106學年,基礎生物,1244,282,472,107,383,-,-,-,-,-,-,-,-,-,-
106學年,基礎地球科學,421,100,174,38,109,-,-,-,-,-,-,-,-,-,-
106學年,音樂,788,199,283,77,229,-,-,-,-,-,-,-,-,-,-
106學年,美術,835,194,301,80,260,-,-,-,-,-,-,-,-,-,-
106學年,藝術生活,182,23,65,27,67,-,-,-,-,-,-,-,-,-,-
106學年,家政,333,64,159,34,76,-,-,-,-,-,-,-,-,-,-
106學年,生活科技,308,69,159,33,47,-,-,-,-,-,-,-,-,-,-
106學年,資訊科技概論(計算機概論),1163,337,404,43,379,-,-,-,-,-,-,-,-,-,-
106學年,健康與護理科,447,157,172,32,86,-,-,-,-,-,-,-,-,-,-
106學年,體育,2959,799,1072,218,870,-,-,-,-,-,-,-,-,-,-
106學年,全民國防教育(國防通識),2197,756,629,57,755,-,-,-,-,-,-,-,-,-,-
106學年,第二外國語文類,141,8,21,1,111,-,-,-,-,-,-,-,-,-,-
106學年,生命教育類,106,25,12,1,68,-,-,-,-,-,-,-,-,-,-
106學年,生涯規劃類,125,27,24,3,71,-,-,-,-,-,-,-,-,-,-
106學年,法律與生活,3,1,-,-,2,-,-,-,-,-,-,-,-,-,-
106學年,環境科學概論,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-
106學年,家政群,776,182,37,6,551,-,-,-,-,-,-,-,-,-,-
106學年,餐旅群,1335,199,50,11,1075,-,-,-,-,-,-,-,-,-,-
106學年,海事群,53,49,-,-,4,-,-,-,-,-,-,-,-,-,-
106學年,水產群,66,65,-,-,1,-,-,-,-,-,-,-,-,-,-
106學年,農業群,263,230,30,-,3,-,-,-,-,-,-,-,-,-,-
106學年,食品群,197,162,13,-,22,-,-,-,-,-,-,-,-,-,-
106學年,商業與管理群,2152,828,306,15,1003,-,-,-,-,-,-,-,-,-,-
106學年,外語群,188,28,22,-,138,-,-,-,-,-,-,-,-,-,-
106學年,設計群,720,183,174,12,351,-,-,-,-,-,-,-,-,-,-
106學年,機械群,1047,600,327,-,120,-,-,-,-,-,-,-,-,-,-
106學年,化工群,179,108,61,1,9,-,-,-,-,-,-,-,-,-,-
106學年,土木與建築群,333,191,118,-,24,-,-,-,-,-,-,-,-,-,-
106學年,電機與電子群,1905,708,515,-,682,-,-,-,-,-,-,-,-,-,-
106學年,動力機械群,756,194,165,-,397,-,-,-,-,-,-,-,-,-,-
106學年,藝術群,220,48,31,1,140,-,-,-,-,-,-,-,-,-,-
106學年,輔導,1726,469,682,141,434,-,-,-,-,-,-,-,-,-,-
106學年,其他,1921,546,950,242,183,-,-,-,-,-,-,-,-,-,-
105學年,總計,54575,17572,15560,3086,18357,-,-,-,-,-,-,-,-,-,-
105學年,國文,7775,2310,2381,528,2556,-,-,-,-,-,-,-,-,-,-
105學年,英文,6780,2044,2049,420,2267,-,-,-,-,-,-,-,-,-,-
105學年,數學,6556,1968,2028,418,2142,-,-,-,-,-,-,-,-,-,-
105學年,歷史,1744,454,621,138,531,-,-,-,-,-,-,-,-,-,-
105學年,地理,1676,454,622,132,468,-,-,-,-,-,-,-,-,-,-
105學年,公民與社會,1452,449,516,94,393,-,-,-,-,-,-,-,-,-,-
105學年,基礎物理,1594,476,552,129,437,-,-,-,-,-,-,-,-,-,-
105學年,基礎化學,1586,465,530,114,477,-,-,-,-,-,-,-,-,-,-
105學年,基礎生物,1227,318,415,107,387,-,-,-,-,-,-,-,-,-,-
105學年,基礎地球科學,424,113,163,38,110,-,-,-,-,-,-,-,-,-,-
105學年,音樂,797,228,258,80,231,-,-,-,-,-,-,-,-,-,-
105學年,美術,821,219,273,87,242,-,-,-,-,-,-,-,-,-,-
105學年,藝術生活,177,22,56,35,64,-,-,-,-,-,-,-,-,-,-
105學年,家政,336,74,140,33,89,-,-,-,-,-,-,-,-,-,-
105學年,生活科技,308,84,143,28,53,-,-,-,-,-,-,-,-,-,-
105學年,資訊科技概論(計算機概論),1262,439,358,38,427,-,-,-,-,-,-,-,-,-,-
105學年,健康與護理科,460,178,157,34,91,-,-,-,-,-,-,-,-,-,-
105學年,體育,2937,884,926,223,904,-,-,-,-,-,-,-,-,-,-
105學年,全民國防教育(國防通識),2492,946,607,68,871,-,-,-,-,-,-,-,-,-,-
105學年,第二外國語文類,123,7,18,1,97,-,-,-,-,-,-,-,-,-,-
105學年,生命教育類,118,28,17,1,72,-,-,-,-,-,-,-,-,-,-
105學年,生涯規劃類,179,51,28,3,97,-,-,-,-,-,-,-,-,-,-
105學年,法律與生活,7,1,-,-,6,-,-,-,-,-,-,-,-,-,-
105學年,環境科學概論,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,家政群,800,194,22,2,582,-,-,-,-,-,-,-,-,-,-
105學年,餐旅群,1384,205,33,11,1135,-,-,-,-,-,-,-,-,-,-
105學年,海事群,55,52,-,-,3,-,-,-,-,-,-,-,-,-,-
105學年,水產群,57,56,-,-,1,-,-,-,-,-,-,-,-,-,-
105學年,農業群,268,245,22,-,1,-,-,-,-,-,-,-,-,-,-
105學年,食品群,221,189,10,-,22,-,-,-,-,-,-,-,-,-,-
105學年,商業與管理群,2219,882,215,18,1104,-,-,-,-,-,-,-,-,-,-
105學年,外語群,186,23,20,-,143,-,-,-,-,-,-,-,-,-,-
105學年,設計群,778,227,151,9,391,-,-,-,-,-,-,-,-,-,-
105學年,機械群,1095,705,251,-,139,-,-,-,-,-,-,-,-,-,-
105學年,化工群,197,147,40,-,10,-,-,-,-,-,-,-,-,-,-
105學年,土木與建築群,327,220,87,-,20,-,-,-,-,-,-,-,-,-,-
105學年,電機與電子群,1924,836,362,-,726,-,-,-,-,-,-,-,-,-,-
105學年,動力機械群,685,223,92,-,370,-,-,-,-,-,-,-,-,-,-
105學年,藝術群,191,49,16,3,123,-,-,-,-,-,-,-,-,-,-
