學年別,學歷別,高級中等學校總計計,高級中等學校總計男,高級中等學校總計女,高級中等學校國立計,高級中等學校國立男,高級中等學校國立女,高級中等學校直轄市立計,高級中等學校直轄市立男,高級中等學校直轄市立女,高級中等學校縣市立計,高級中等學校縣市立男,高級中等學校縣市立女,高級中等學校私立計,高級中等學校私立男,高級中等學校私立女,高級中學總計計,高級中學總計男,高級中學總計女,高級中學國立計,高級中學國立男,高級中學國立女,高級中學直轄市立計,高級中學直轄市立男,高級中學直轄市立女,高級中學縣市立計,高級中學縣市立男,高級中學縣市立女,高級中學私立計,高級中學私立男,高級中學私立女,職業學校總計計,職業學校總計男,職業學校總計女,職業學校國立計,職業學校國立男,職業學校國立女,職業學校直轄市立計,職業學校直轄市立男,職業學校直轄市立女,職業學校縣市立計,職業學校縣市立男,職業學校縣市立女,職業學校私立計,職業學校私立男,職業學校私立女
106學年,總計,53943,22557,31386,15412,6947,8465,17800,6852,10948,3087,1111,1976,17644,7647,9997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,博士,1049,633,416,406,254,152,453,256,197,36,22,14,154,101,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,碩士,32217,13176,19041,10508,4537,5971,11692,4411,7281,1893,653,1240,8124,3575,4549,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,學士,19764,7964,11800,4250,1934,2316,5448,2001,3447,1138,417,721,8928,3612,5316,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,專科,140,97,43,20,17,3,8,6,2,-,-,-,112,74,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,軍警,716,655,61,213,197,16,199,178,21,20,19,1,284,261,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,其他,57,32,25,15,8,7,-,-,-,-,-,-,42,24,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,54575,22993,31582,17572,8018,9554,15560,5833,9727,3086,1106,1980,18357,8036,10321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,博士,989,604,385,439,280,159,357,200,157,32,17,15,161,107,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,碩士,31375,12931,18444,11664,5088,6576,9861,3595,6266,1832,655,1177,8018,3593,4425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,學士,21142,8553,12589,5140,2358,2782,5142,1872,3270,1201,416,785,9659,3907,5752,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,專科,144,91,53,11,9,2,5,1,4,-,-,-,128,81,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,軍警,871,785,86,300,277,23,193,165,28,20,18,2,358,325,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,其他,54,29,25,18,6,12,2,-,2,1,-,1,33,23,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,55340,23324,32016,17662,8070,9592,15753,5911,9842,3125,1092,2033,18800,8251,10549,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,博士,924,566,358,402,257,145,336,186,150,32,17,15,154,106,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,碩士,30552,12642,17910,11348,4988,6360,9686,3548,6138,1649,586,1063,7869,3520,4349,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,學士,22695,9144,13551,5572,2523,3049,5499,1997,3502,1422,472,950,10202,4152,6050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,專科,158,102,56,16,10,6,6,2,4,4,1,3,132,89,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,軍警,939,825,114,315,286,29,210,171,39,18,16,2,396,352,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,其他,72,45,27,9,6,3,16,7,9,-,-,-,47,32,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,55699,23454,32245,17630,8059,9571,14916,5584,9332,3878,1367,2511,19275,8444,10831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,博士,851,535,316,371,245,126,310,182,128,40,24,16,130,84,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,碩士,29652,12316,17336,11037,4862,6175,8804,3238,5566,2088,732,1356,7723,3484,4239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,學士,23966,9596,14370,5886,2665,3221,5568,1978,3590,1718,583,1135,10794,4370,6424,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,專科,195,126,69,12,8,4,8,4,4,-,-,-,175,114,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,軍警,928,821,107,303,272,31,204,173,31,32,28,4,389,348,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,其他,107,60,47,21,7,14,22,9,13,-,-,-,64,44,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37842,14813,23029,8625,3615,5010,11625,3946,7679,3667,1303,2364,13925,5949,7976,17045,8143,8902,9024,4456,4568,2962,1420,1542,-,-,-,5059,2267,2792
102學年,博士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,462,262,200,158,94,64,190,103,87,33,19,14,81,46,35,270,197,73,165,122,43,84,59,25,-,-,-,21,16,5
102學年,碩士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19390,7598,11792,5316,2203,3113,6478,2226,4252,1969,684,1285,5627,2485,3142,8656,4048,4608,5175,2440,2735,1763,816,947,-,-,-,1718,792,926
102學年,學士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17309,6400,10909,2984,1181,1803,4802,1497,3305,1632,570,1062,7891,3152,4739,7524,3405,4119,3450,1690,1760,1043,487,556,-,-,-,3031,1228,1803
102學年,專科,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,52,35,-,-,-,7,3,4,2,1,1,78,48,30,109,75,34,23,18,5,1,1,-,-,-,-,85,56,29
102學年,軍警,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,550,478,72,148,130,18,147,117,30,31,29,2,224,202,22,409,366,43,180,160,20,53,49,4,-,-,-,176,157,19
102學年,其他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,23,21,19,7,12,1,-,1,-,-,-,24,16,8,77,52,25,31,26,5,18,8,10,-,-,-,28,18,10
101學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37159,14569,22590,9465,3947,5518,10570,3552,7018,3293,1167,2126,13831,5903,7928,17166,8146,9020,9693,4792,4901,2379,1113,1266,-,-,-,5094,2241,2853
101學年,博士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,390,215,175,152,88,64,147,71,76,26,16,10,65,40,25,237,172,65,155,114,41,64,43,21,-,-,-,18,15,3
101學年,碩士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17983,7076,10907,5490,2270,3220,5593,1887,3706,1617,584,1033,5283,2335,2948,8267,3839,4428,5240,2462,2778,1386,626,760,-,-,-,1641,751,890
101學年,學士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18060,6689,11371,3641,1434,2207,4687,1485,3202,1613,535,1078,8119,3235,4884,8066,3656,4410,4053,2004,2049,867,400,467,-,-,-,3146,1252,1894
