學年別,年資別,高級中等學校總計計,高級中等學校總計男,高級中等學校總計女,高級中等學校國立計,高級中等學校國立男,高級中等學校國立女,高級中等學校直轄市立計,高級中等學校直轄市立男,高級中等學校直轄市立女,高級中等學校縣市立計,高級中等學校縣市立男,高級中等學校縣市立女,高級中等學校私立計,高級中等學校私立男,高級中等學校私立女,高級中學總計計,高級中學總計男,高級中學總計女,高級中學國立計,高級中學國立男,高級中學國立女,高級中學直轄市立計,高級中學直轄市立男,高級中學直轄市立女,高級中學縣市立計,高級中學縣市立男,高級中學縣市立女,高級中學私立計,高級中學私立男,高級中學私立女,職業學校總計計,職業學校總計男,職業學校總計女,職業學校國立計,職業學校國立男,職業學校國立女,職業學校直轄市立計,職業學校直轄市立男,職業學校直轄市立女,職業學校縣市立計,職業學校縣市立男,職業學校縣市立女,職業學校私立計,職業學校私立男,職業學校私立女
106學年,總計,53943,22557,31386,15412,6947,8465,17800,6852,10948,3087,1111,1976,17644,7647,9997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,未滿1年,2849,1157,1692,596,255,341,997,367,630,183,72,111,1073,463,610,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,1年至未滿5年,8793,3878,4915,1970,947,1023,2621,1012,1609,517,195,322,3685,1724,1961,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,5年至未滿10年,8669,3616,5053,2466,1102,1364,2736,1083,1653,447,160,287,3020,1271,1749,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,10年至未滿15年,10341,3873,6468,3005,1212,1793,3532,1241,2291,758,244,514,3046,1176,1870,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,15年至未滿20年,9408,3650,5758,3051,1300,1751,3523,1280,2243,683,238,445,2151,832,1319,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,20年至未滿25年,6786,2787,3999,2070,883,1187,2402,924,1478,349,135,214,1965,845,1120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,25年至未滿30年,4707,2219,2488,1557,813,744,1413,620,793,112,49,63,1625,737,888,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,30年以上,2390,1377,1013,697,435,262,576,325,251,38,18,20,1079,599,480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,54575,22993,31582,17572,8018,9554,15560,5833,9727,3086,1106,1980,18357,8036,10321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,未滿1年,3128,1343,1785,695,323,372,920,335,585,252,102,150,1261,583,678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,1年至未滿5年,9434,4204,5230,2494,1186,1308,2500,991,1509,457,170,287,3983,1857,2126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,5年至未滿10年,8584,3482,5102,2756,1177,1579,2242,863,1379,478,162,316,3108,1280,1828,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,10年至未滿15年,10921,4106,6815,3657,1505,2152,3260,1098,2162,870,289,581,3134,1214,1920,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,15年至未滿20年,8789,3475,5314,3219,1375,1844,2915,1064,1851,541,199,342,2114,837,1277,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,20年至未滿25年,7000,2921,4079,2335,1075,1260,2157,765,1392,332,121,211,2176,960,1216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,25年至未滿30年,4333,2083,2250,1614,878,736,1132,486,646,114,42,72,1473,677,796,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,30年以上,2386,1379,1007,802,499,303,434,231,203,42,21,21,1108,628,480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,55340,23324,32016,17662,8070,9592,15753,5911,9842,3125,1092,2033,18800,8251,10549,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,未滿1年,3476,1514,1962,722,327,395,984,370,614,339,130,209,1431,687,744,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,1年至未滿5年,9604,4226,5378,2488,1183,1305,2598,1022,1576,464,156,308,4054,1865,2189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,5年至未滿10年,8891,3519,5372,2827,1178,1649,2259,866,1393,510,167,343,3295,1308,1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,10年至未滿15年,11285,4272,7013,3818,1601,2217,3473,1146,2327,917,301,616,3077,1224,1853,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,15年至未滿20年,8157,3256,4901,2905,1243,1662,2689,997,1692,458,162,296,2105,854,1251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,20年至未滿25年,7367,3172,4195,2536,1198,1338,2108,771,1337,306,117,189,2417,1086,1331,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,25年至未滿30年,4083,1953,2130,1538,830,708,1178,496,682,97,41,56,1270,586,684,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,30年以上,2477,1412,1065,828,510,318,464,243,221,34,18,16,1151,641,510,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
