學年別,年齡別,高級中等學校總計計,高級中等學校總計男,高級中等學校總計女,高級中等學校國立計,高級中等學校國立男,高級中等學校國立女,高級中等學校直轄市立計,高級中等學校直轄市立男,高級中等學校直轄市立女,高級中等學校縣市立計,高級中等學校縣市立男,高級中等學校縣市立女,高級中等學校私立計,高級中等學校私立男,高級中等學校私立女,高級中學總計計,高級中學總計男,高級中學總計女,高級中學國立計,高級中學國立男,高級中學國立女,高級中學直轄市立計,高級中學直轄市立男,高級中學直轄市立女,高級中學縣市立計,高級中學縣市立男,高級中學縣市立女,高級中學私立計,高級中學私立男,高級中學私立女,職業學校總計計,職業學校總計男,職業學校總計女,職業學校國立計,職業學校國立男,職業學校國立女,職業學校直轄市立計,職業學校直轄市立男,職業學校直轄市立女,職業學校縣市立計,職業學校縣市立男,職業學校縣市立女,職業學校私立計,職業學校私立男,職業學校私立女
106學年,總計,53943,22557,31386,15412,6947,8465,17800,6852,10948,3087,1111,1976,17644,7647,9997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,未滿25歲,612,132,480,153,42,111,201,35,166,30,11,19,228,44,184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,25歲至未滿30歲,3844,1258,2586,891,325,566,1395,415,980,258,88,170,1300,430,870,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,30歲至未滿35歲,7054,2658,4396,1942,781,1161,2481,905,1576,425,134,291,2206,838,1368,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,35歲至未滿40歲,10796,4490,6306,3113,1411,1702,3595,1420,2175,719,260,459,3369,1399,1970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,40歲至未滿45歲,11048,4348,6700,3384,1381,2003,3699,1315,2384,766,258,508,3199,1394,1805,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,45歲至未滿50歲,9824,4020,5804,3128,1431,1697,3403,1287,2116,539,195,344,2754,1107,1647,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,50歲至未滿55歲,6650,3275,3375,1923,1000,923,2172,1014,1158,252,120,132,2303,1141,1162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,55歲至未滿60歲,2729,1525,1204,616,385,231,618,336,282,72,32,40,1423,772,651,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,60歲至未滿65歲,1300,797,503,257,188,69,230,121,109,26,13,13,787,475,312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,65歲以上,86,54,32,5,3,2,6,4,2,-,-,-,75,47,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,54575,22993,31582,17572,8018,9554,15560,5833,9727,3086,1106,1980,18357,8036,10321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,未滿25歲,631,110,521,156,22,134,183,29,154,39,12,27,253,47,206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,25歲至未滿30歲,4147,1370,2777,1064,391,673,1354,398,956,296,92,204,1433,489,944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,30歲至未滿35歲,7730,2956,4774,2480,1022,1458,2301,846,1455,493,164,329,2456,924,1532,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,35歲至未滿40歲,11322,4744,6578,3653,1633,2020,3275,1277,1998,781,274,507,3613,1560,2053,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,40歲至未滿45歲,10679,4200,6479,3735,1528,2207,3070,1056,2014,663,236,427,3211,1380,1831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,45歲至未滿50歲,9983,4260,5723,3607,1764,1843,3037,1143,1894,494,182,312,2845,1171,1674,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,50歲至未滿55歲,6028,3022,3006,1959,1061,898,1656,745,911,228,101,127,2185,1115,1070,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,55歲至未滿60歲,2697,1509,1188,633,398,235,500,242,258,72,33,39,1492,836,656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,60歲至未滿65歲,1258,760,498,280,196,84,179,96,83,17,10,7,782,458,324,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,65歲以上,100,62,38,5,3,2,5,1,4,3,2,1,87,56,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,55340,23324,32016,17662,8070,9592,15753,5911,9842,3125,1092,2033,18800,8251,10549,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,未滿25歲,615,117,498,157,25,132,187,37,150,37,9,28,234,46,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,25歲至未滿30歲,4335,1399,2936,1110,409,701,1453,430,1023,304,89,215,1468,471,997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,30歲至未滿35歲,8548,3276,5272,2663,1098,1565,2562,946,1616,541,171,370,2782,1061,1721,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,35歲至未滿40歲,11880,4902,6978,3884,1709,2175,3378,1269,2109,842,296,546,3776,1628,2148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,40歲至未滿45歲,10351,4067,6284,3588,1474,2114,3002,1040,1962,634,217,417,3127,1336,1791,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,45歲至未滿50歲,10007,4421,5586,3599,1808,1791,3003,1176,1827,473,185,288,2932,1252,1680,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,50歲至未滿55歲,5562,2815,2747,1747,958,789,1521,694,827,206,81,125,2088,1082,1006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,55歲至未滿60歲,2709,1513,1196,643,399,244,486,231,255,63,29,34,1517,854,663,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,60歲至未滿65歲,1234,744,490,269,189,80,159,86,73,24,14,10,782,455,327,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,65歲以上,99,70,29,2,1,1,2,2,-,1,1,-,94,66,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,55699,23454,32245,17630,8059,9571,14916,5584,9332,3878,1367,2511,19275,8444,10831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,未滿25歲,679,128,551,153,30,123,198,42,156,63,9,54,265,47,218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,25歲至未滿30歲,4618,1491,3127,1155,415,740,1319,396,923,513,146,367,1631,534,1097,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,30歲至未滿35歲,9058,3423,5635,2779,1156,1623,2462,895,1567,751,247,504,3066,1125,1941,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,35歲至未滿40歲,11930,4752,7178,3895,1614,2281,3193,1132,2061,1005,364,641,3837,1642,2195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,40歲至未滿45歲,10275,4179,6096,3562,1517,2045,2888,1065,1823,744,261,483,3081,1336,1745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,45歲至未滿50歲,9753,4423,5330,3475,1791,1684,2830,1127,1703,512,204,308,2936,1301,1635,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,50歲至未滿55歲,5280,2697,2583,1699,941,758,1362,611,751,200,91,109,2019,1054,965,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,55歲至未滿60歲,2746,1539,1207,625,400,225,500,230,270,74,38,36,1547,871,676,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,60歲至未滿65歲,1274,758,516,279,190,89,162,84,78,16,7,9,817,477,340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,65歲以上,86,64,22,8,5,3,2,2,-,-,-,-,76,57,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37842,14813,23029,8625,3615,5010,11625,3946,7679,3667,1303,2364,13925,5949,7976,17045,8143,8902,9024,4456,4568,2962,1420,1542,-,-,-,5059,2267,2792
102學年,未滿25歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,433,57,376,71,10,61,124,15,109,57,11,46,181,21,160,242,56,186,76,16,60,54,15,39,-,-,-,112,25,87
102學年,25歲至未滿30歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3525,1051,2474,688,223,465,1027,280,747,486,140,346,1324,408,916,1541,558,983,728,280,448,316,113,203,-,-,-,497,165,332
102學年,30歲至未滿35歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6547,2252,4295,1409,530,879,1925,636,1289,784,251,533,2429,835,1594,2907,1204,1703,1511,630,881,536,243,293,-,-,-,860,331,529
102學年,35歲至未滿40歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7969,2995,4974,1863,739,1124,2466,790,1676,978,353,625,2662,1113,1549,3565,1549,2016,2017,872,1145,577,237,340,-,-,-,971,440,531
102學年,40歲至未滿45歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7093,2718,4375,1847,754,1093,2375,793,1582,676,236,440,2195,935,1260,3129,1514,1615,1733,850,883,518,262,256,-,-,-,878,402,476
102學年,45歲至未滿50歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6353,2684,3669,1665,778,887,2263,834,1429,432,187,245,1993,885,1108,2857,1578,1279,1658,955,703,498,289,209,-,-,-,701,334,367
102學年,50歲至未滿55歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3255,1566,1689,692,343,349,975,391,584,182,86,96,1406,746,660,1661,1000,661,835,533,302,315,192,123,-,-,-,511,275,236
102學年,55歲至未滿60歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1764,957,807,261,155,106,357,150,207,56,30,26,1090,622,468,764,443,321,320,216,104,108,52,56,-,-,-,336,175,161
102學年,60歲至未滿65歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,862,503,359,129,83,46,112,57,55,16,9,7,605,354,251,354,219,135,141,100,41,40,17,23,-,-,-,173,102,71
102學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,30,11,-,-,-,1,-,1,-,-,-,40,30,10,25,22,3,5,4,1,-,-,-,-,-,-,20,18,2
101學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37159,14569,22590,9465,3947,5518,10570,3552,7018,3293,1167,2126,13831,5903,7928,17166,8146,9020,9693,4792,4901,2379,1113,1266,-,-,-,5094,2241,2853
101學年,未滿25歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,466,70,396,68,10,58,147,18,129,58,12,46,193,30,163,244,54,190,114,26,88,31,7,24,-,-,-,99,21,78
101學年,25歲至未滿30歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3741,1097,2644,824,259,565,988,279,709,437,136,301,1492,423,1069,1679,590,1089,911,328,583,246,88,158,-,-,-,522,174,348
101學年,30歲至未滿35歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6692,2301,4391,1581,593,988,1836,557,1279,744,251,493,2531,900,1631,3061,1250,1811,1693,735,958,456,190,266,-,-,-,912,325,587
101學年,35歲至未滿40歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7555,2844,4711,2012,805,1207,2211,709,1502,848,282,566,2484,1048,1436,3513,1504,2009,2085,890,1195,458,195,263,-,-,-,970,419,551
101學年,40歲至未滿45歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7193,2831,4362,2140,910,1230,2203,761,1442,639,232,407,2211,928,1283,3257,1642,1615,1900,1010,890,446,216,230,-,-,-,911,416,495
101學年,45歲至未滿50歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5914,2519,3395,1731,767,964,1954,709,1245,350,155,195,1879,888,991,2697,1498,1199,1655,957,698,380,211,169,-,-,-,662,330,332
101學年,50歲至未滿55歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3081,1470,1611,700,345,355,841,334,507,160,70,90,1380,721,659,1636,973,663,886,550,336,253,145,108,-,-,-,497,278,219
101學年,55歲至未滿60歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1657,924,733,292,186,106,290,134,156,45,23,22,1030,581,449,719,406,313,309,196,113,86,52,34,-,-,-,324,158,166
101學年,60歲至未滿65歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,809,480,329,116,71,45,97,49,48,12,6,6,584,354,230,345,216,129,138,99,39,23,9,14,-,-,-,184,108,76
101學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,18,1,1,-,3,2,1,-,-,-,47,30,17,15,13,2,2,1,1,-,-,-,-,-,-,13,12,1
100學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36407,14341,22066,9380,3917,5463,10264,3461,6803,3039,1086,1953,13724,5877,7847,16976,8066,8910,9628,4784,4844,2292,1101,1191,-,-,-,5056,2181,2875
100學年,未滿25歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,410,52,358,67,6,61,105,13,92,52,10,42,186,23,163,215,31,184,90,11,79,21,4,17,-,-,-,104,16,88
100學年,25歲至未滿30歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3706,1041,2665,843,266,577,878,228,650,411,133,278,1574,414,1160,1720,592,1128,918,319,599,223,90,133,-,-,-,579,183,396
100學年,30歲至未滿35歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6925,2372,4553,1660,587,1073,1857,560,1297,773,248,525,2635,977,1658,3112,1221,1891,1726,713,1013,414,169,245,-,-,-,972,339,633
100學年,35歲至未滿40歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7232,2716,4516,1943,771,1172,2142,705,1437,777,263,514,2370,977,1393,3396,1451,1945,2001,863,1138,444,175,269,-,-,-,951,413,538
100學年,40歲至未滿45歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7139,2926,4213,2114,943,1171,2181,764,1417,569,221,348,2275,998,1277,3263,1737,1526,1942,1084,858,455,253,202,-,-,-,866,400,466
100學年,45歲至未滿50歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5449,2371,3078,1592,721,871,1862,695,1167,264,120,144,1731,835,896,2551,1424,1127,1564,920,644,355,186,169,-,-,-,632,318,314
100學年,50歲至未滿55歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3114,1482,1632,739,360,379,857,319,538,136,63,73,1382,740,642,1665,955,710,898,536,362,269,164,105,-,-,-,498,255,243
100學年,55歲至未滿60歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1640,897,743,310,189,121,301,133,168,43,20,23,986,555,431,728,447,281,355,243,112,91,52,39,-,-,-,282,152,130
100學年,60歲至未滿65歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,748,454,294,108,71,37,78,41,37,13,8,5,549,334,215,308,193,115,131,92,39,18,7,11,-,-,-,159,94,65
100學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,30,14,4,3,1,3,3,-,1,-,1,36,24,12,18,15,3,3,3,-,2,1,1,-,-,-,13,11,2
99學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36257,14407,21850,9358,3935,5423,5620,1938,3682,7528,2584,4944,13751,5950,7801,16906,8073,8833,9513,4743,4770,2149,1047,1102,139,57,82,5105,2226,2879
99學年,未滿25歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,457,67,390,112,22,90,51,4,47,99,19,80,195,22,173,197,35,162,104,17,87,11,-,11,2,-,2,80,18,62
