學年別,登記資格別,高級中等學校總計,高級中等學校國立,高級中等學校直轄市立,高級中等學校縣市立,高級中等學校私立,高級中學總計,高級中學國立,高級中學直轄市立,高級中學縣市立,高級中學私立,職業學校總計,職業學校國立,職業學校直轄市立,職業學校縣市立,職業學校私立
106學年,總計,53943,15412,17800,3087,17644,-,-,-,-,-,-,-,-,-,-
106學年,合格教師,48895,14525,16919,2866,14585,-,-,-,-,-,-,-,-,-,-
106學年,技術教師登記,843,48,6,9,780,-,-,-,-,-,-,-,-,-,-
106學年,其他教師,4205,839,875,212,2279,-,-,-,-,-,-,-,-,-,-
105學年,總計,54575,17572,15560,3086,18357,-,-,-,-,-,-,-,-,-,-
105學年,合格教師,49121,16487,14715,2894,15025,-,-,-,-,-,-,-,-,-,-
105學年,技術教師登記,875,55,4,-,816,-,-,-,-,-,-,-,-,-,-
105學年,其他教師,4579,1030,841,192,2516,-,-,-,-,-,-,-,-,-,-
104學年,總計,55340,17662,15753,3125,18800,-,-,-,-,-,-,-,-,-,-
104學年,合格教師,49691,16564,14897,2912,15318,-,-,-,-,-,-,-,-,-,-
104學年,技術教師登記,917,53,3,-,861,-,-,-,-,-,-,-,-,-,-
104學年,其他教師,4732,1045,853,213,2621,-,-,-,-,-,-,-,-,-,-
103學年,總計,55699,17630,14916,3878,19275,-,-,-,-,-,-,-,-,-,-
103學年,合格教師,50004,16569,14076,3650,15709,-,-,-,-,-,-,-,-,-,-
103學年,技術教師登記,938,49,2,3,884,-,-,-,-,-,-,-,-,-,-
103學年,其他教師,4757,1012,838,225,2682,-,-,-,-,-,-,-,-,-,-
102學年,總計,-,-,-,-,-,37842,8625,11625,3667,13925,17045,9024,2962,-,5059
102學年,合格教師,-,-,-,-,-,34698,8132,11033,3451,12082,14789,8490,2789,-,3510
102學年,技術教師登記,-,-,-,-,-,348,1,-,-,347,509,47,2,-,460
102學年,其他教師,-,-,-,-,-,2796,492,592,216,1496,1747,487,171,-,1089
101學年,總計,-,-,-,-,-,37159,9465,10570,3293,13831,17166,9693,2379,-,5094
101學年,合格教師,-,-,-,-,-,34280,8939,10133,3151,12057,14901,9116,2237,-,3548
101學年,技術教師登記,-,-,-,-,-,352,1,-,-,351,478,47,2,-,429
101學年,其他教師,-,-,-,-,-,2527,525,437,142,1423,1787,530,140,-,1117
100學年,總計,-,-,-,-,-,36407,9380,10264,3039,13724,16976,9628,2292,-,5056
100學年,合格教師,-,-,-,-,-,33660,8845,9866,2935,12014,14800,9038,2141,-,3621
100學年,技術教師登記,-,-,-,-,-,336,6,-,-,330,470,48,2,-,420
100學年,其他教師,-,-,-,-,-,2411,529,398,104,1380,1706,542,149,-,1015
99學年,總計,-,-,-,-,-,36257,9358,5620,7528,13751,16906,9513,2149,139,5105
99學年,合格教師,-,-,-,-,-,33532,8814,5353,7316,12049,14779,8939,2028,132,3680
99學年,技術教師登記,-,-,-,-,-,348,1,-,-,347,469,51,-,2,416
99學年,其他教師,-,-,-,-,-,2377,543,267,212,1355,1658,523,121,5,1009
98學年,總計,-,-,-,-,-,35580,9341,5656,7154,13429,16585,9379,2113,135,4958
98學年,合格教師,-,-,-,-,-,34119,9272,5587,7112,12148,15337,9262,2083,131,3861
98學年,技術教師登記,-,-,-,-,-,336,1,-,5,330,463,54,-,2,407
98學年,其他教師,-,-,-,-,-,1125,68,69,37,951,785,63,30,2,690
97學年,總計,-,-,-,-,-,34759,9312,5508,6610,13329,16470,9288,2111,136,4935
97學年,合格教師,-,-,-,-,-,33404,9214,5474,6586,12130,15278,9155,2099,134,3890
97學年,技術教師登記,-,-,-,-,-,327,1,-,-,326,455,65,-,2,388
97學年,其他教師,-,-,-,-,-,1028,97,34,24,873,737,68,12,-,657
""
