學年別,等級別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
106學年,總計,235965,128280,107685,69390,38519,30871,65231,35686,29545,5321,2642,2679,96023,51433,44590
106學年,普通科,100433,50497,49936,29791,15165,14626,43870,21786,22084,4530,2264,2266,22242,11282,10960
106學年,綜合高中,12508,5956,6552,5926,2689,3237,2354,1208,1146,283,128,155,3945,1931,2014
106學年,專業群(職業)科,99152,57214,41938,27425,16627,10798,16230,10772,5458,374,163,211,55123,29652,25471
106學年,實用技能學程,10701,6560,4141,2806,1736,1070,663,490,173,-,-,-,7232,4334,2898
106學年,進修部(學校),13171,8053,5118,3442,2302,1140,2114,1430,684,134,87,47,7481,4234,3247
105學年,總計,265037,143062,121975,82967,46010,36957,55514,29315,26199,5537,2820,2717,121019,64917,56102
105學年,普通科,106456,53272,53184,35162,17832,17330,38871,18845,20026,4745,2461,2284,27678,14134,13544
105學年,綜合高中,15734,7369,8365,6744,3057,3687,2944,1474,1470,300,115,185,5746,2723,3023
105學年,專業群(職業)科,114393,65195,49198,32297,19456,12841,11662,7661,4001,357,159,198,70077,37919,32158
105學年,實用技能學程,12468,7580,4888,3799,2361,1438,239,180,59,-,-,-,8430,5039,3391
105學年,進修部(學校),15986,9646,6340,4965,3304,1661,1798,1155,643,135,85,50,9088,5102,3986
104學年,總計,274404,148706,125698,83093,45954,37139,55767,29967,25800,5448,2758,2690,130096,70027,60069
104學年,普通科,107979,54355,53624,34835,17568,17267,39058,19359,19699,4642,2391,2251,29444,15037,14407
104學年,綜合高中,17629,8317,9312,7513,3444,4069,2923,1497,1426,530,251,279,6663,3125,3538
104學年,專業群(職業)科,118695,67933,50762,31447,19005,12442,11508,7630,3878,238,103,135,75502,41195,34307
104學年,實用技能學程,12695,7605,5090,3802,2309,1493,387,286,101,-,-,-,8506,5010,3496
104學年,進修部(學校),17406,10496,6910,5496,3628,1868,1891,1195,696,38,13,25,9981,5660,4321
103學年,總計,265480,143979,121501,82838,46184,36654,51607,28224,23383,8333,4130,4203,122702,65441,57261
103學年,普通科,100393,50787,49606,33646,17146,16500,34040,17001,17039,7203,3659,3544,25504,12981,12523
103學年,綜合高中,18412,8743,9669,7928,3649,4279,3290,1738,1552,509,204,305,6685,3152,3533
103學年,專業群(職業)科,115134,65725,49409,31930,19426,12504,11803,7896,3907,586,245,341,70815,38158,32657
103學年,實用技能學程,12395,7149,5246,3602,2194,1408,354,246,108,-,-,-,8439,4709,3730
103學年,進修部(學校),19146,11575,7571,5732,3769,1963,2120,1343,777,35,22,13,11259,6441,4818
102學年,總計,281850,152861,128989,89120,48721,40399,54658,29295,25363,8223,3977,4246,129849,70868,58981
102學年,普通科,104486,52742,51744,35774,18160,17614,36520,17974,18546,6927,3402,3525,25265,13206,12059
102學年,綜合高中,22480,10944,11536,9458,4358,5100,3416,1768,1648,646,313,333,8960,4505,4455
102學年,專業群(職業)科,119789,68181,51608,33463,19720,13743,11676,7663,4013,619,242,377,74031,40556,33475
102學年,實用技能學程,13406,7801,5605,3926,2329,1597,417,249,168,-,-,-,9063,5223,3840
102學年,進修部(學校),21689,13193,8496,6499,4154,2345,2629,1641,988,31,20,11,12530,7378,5152
101學年,總計,306906,166045,140861,102304,56964,45340,46053,24387,21666,8349,4162,4187,150200,80532,69668
101學年,普通科,110608,56671,53937,41619,21715,19904,31963,15883,16080,7175,3682,3493,29851,15391,14460
101學年,綜合高中,25692,12272,13420,10878,5212,5666,3257,1729,1528,501,215,286,11056,5116,5940
101學年,專業群(職業)科,130151,73221,56930,36740,22015,14725,9186,5868,3318,598,229,369,83627,45109,38518
101學年,實用技能學程,15154,8773,6381,4467,2698,1769,339,182,157,-,-,-,10348,5893,4455
101學年,進修部(學校),25301,15108,10193,8600,5324,3276,1308,725,583,75,36,39,15318,9023,6295
100學年,總計,313309,169059,144250,103025,56959,46066,46602,24809,21793,7441,3681,3760,156241,83610,72631
100學年,普通科,109289,55569,53720,40820,21074,19746,31934,16032,15902,6583,3318,3265,29952,15145,14807
100學年,綜合高中,27575,13123,14452,11519,5425,6094,3540,1817,1723,438,203,235,12078,5678,6400
100學年,專業群(職業)科,131457,73918,57539,36261,21719,14542,9270,5963,3307,355,130,225,85571,46106,39465
100學年,實用技能學程,15695,8989,6706,4658,2840,1818,346,199,147,-,-,-,10691,5950,4741
100學年,進修部(學校),29293,17460,11833,9767,5901,3866,1512,798,714,65,30,35,17949,10731,7218
99學年,總計,313144,168660,144484,101817,55922,45895,35004,19297,15707,17321,8487,8834,159002,84954,74048
99學年,普通科,107656,54992,52664,40454,21109,19345,22333,11334,10999,14548,7341,7207,30321,15208,15113
99學年,綜合高中,28347,13252,15095,11649,5416,6233,2639,1474,1165,1417,645,772,12642,5717,6925
99學年,專業群(職業)科,130041,73087,56954,35555,20988,14567,8454,5560,2894,822,319,503,85210,46220,38990
99學年,實用技能學程,18062,10322,7740,4925,2946,1979,475,242,233,-,-,-,12662,7134,5528
99學年,進修部(學校),29038,17007,12031,9234,5463,3771,1103,687,416,534,182,352,18167,10675,7492
98學年,總計,312978,168923,144055,104063,56936,47127,35026,19345,15681,16330,8038,8292,157559,84604,72955
98學年,普通科,105441,54436,51005,40127,21246,18881,22241,11273,10968,13501,6893,6608,29572,15024,14548
98學年,綜合高中,29858,14117,15741,12270,5744,6526,2581,1400,1181,1428,638,790,13579,6335,7244
98學年,專業群(職業)科,126798,70940,55858,35123,20555,14568,8382,5550,2832,814,296,518,82479,44539,37940
98學年,實用技能學程,19305,11190,8115,5167,3028,2139,502,324,178,-,-,-,13636,7838,5798
98學年,進修部(學校),31576,18240,13336,11376,6363,5013,1320,798,522,587,211,376,18293,10868,7425
97學年,總計,315693,169719,145974,105195,56803,48392,35299,19079,16220,14338,6809,7529,160861,87028,73833
97學年,普通科,102271,52263,50008,40121,21065,19056,22299,11105,11194,11466,5714,5752,28385,14379,14006
97學年,綜合高中,33242,15562,17680,12801,5815,6986,2632,1368,1264,1593,673,920,16216,7706,8510
97學年,專業群(職業)科,126077,70704,55373,34892,20016,14876,8369,5409,2960,735,239,496,82081,45040,37041
97學年,實用技能學程,19342,11307,8035,5534,3404,2130,660,418,242,-,-,-,13148,7485,5663
97學年,進修部(學校),34761,19883,14878,11847,6503,5344,1339,779,560,544,183,361,21031,12418,8613
""
