學年別,縣市別,高級中等學校總計,高級中等學校國立,高級中等學校直轄市立,高級中等學校縣市立,高級中等學校私立,高級中學總計,高級中學國立,高級中學直轄市立,高級中學縣市立,高級中學私立,職業學校總計,職業學校國立,職業學校直轄市立,職業學校縣市立,職業學校私立,高級中等進修學校總計,高級中等進修學校國立,高級中等進修學校直轄市立,高級中等進修學校縣市立,高級中等進修學校私立
106學年,總計,511,142,123,33,213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新北市,62,1,30,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺北市,69,2,33,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,桃園市,34,10,8,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺中市,50,3,24,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺南市,47,22,4,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,高雄市,54,10,24,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,宜蘭縣,12,8,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹縣,10,3,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,苗栗縣,19,7,-,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,彰化縣,24,14,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,南投縣,15,9,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,雲林縣,21,8,-,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,嘉義縣,10,3,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,屏東縣,19,9,-,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺東縣,10,6,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,花蓮縣,13,7,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
