學年別,學生數組別,高級中等學校總計,高級中等學校國立,高級中等學校直轄市立,高級中等學校縣市立,高級中等學校私立,高級中學總計,高級中學國立,高級中學直轄市立,高級中學縣市立,高級中學私立,職業學校總計,職業學校國立,職業學校直轄市立,職業學校縣市立,職業學校私立
106學年,總計,508,142,123,33,210,-,-,-,-,-,-,-,-,-,-
106學年,300人以上,453,138,118,25,172,-,-,-,-,-,-,-,-,-,-
106學年,500人以上,415,133,115,14,153,-,-,-,-,-,-,-,-,-,-
105學年,總計,503,156,106,33,208,-,-,-,-,-,-,-,-,-,-
105學年,300人以上,457,151,104,25,177,-,-,-,-,-,-,-,-,-,-
105學年,500人以上,420,146,101,14,159,-,-,-,-,-,-,-,-,-,-
104學年,總計,503,156,106,33,208,-,-,-,-,-,-,-,-,-,-
104學年,300人以上,459,152,104,24,179,-,-,-,-,-,-,-,-,-,-
104學年,500人以上,416,147,100,13,156,-,-,-,-,-,-,-,-,-,-
103學年,總計,500,155,99,38,208,-,-,-,-,-,-,-,-,-,-
103學年,300人以上,462,154,96,28,184,-,-,-,-,-,-,-,-,-,-
103學年,500人以上,419,148,91,18,162,-,-,-,-,-,-,-,-,-,-
102學年,總計,-,-,-,-,-,344,80,81,37,146,155,75,17,-,63
102學年,300人以上,-,-,-,-,-,312,79,78,28,127,148,74,17,-,57
102學年,500人以上,-,-,-,-,-,286,76,73,18,119,140,72,17,-,51
101學年,總計,-,-,-,-,-,340,87,73,34,146,155,79,13,-,63
101學年,300人以上,-,-,-,-,-,312,86,70,27,129,150,79,13,-,58
101學年,500人以上,-,-,-,-,-,291,83,67,17,124,143,76,13,-,54
100學年,總計,-,-,-,-,-,336,87,72,32,145,155,79,13,-,63
100學年,300人以上,-,-,-,-,-,310,85,70,25,130,150,79,13,-,58
100學年,500人以上,-,-,-,-,-,286,83,66,16,121,144,76,13,-,55
99學年,總計,-,-,-,-,-,335,87,39,64,145,156,79,12,1,64
99學年,300人以上,-,-,-,-,-,306,84,39,54,129,154,79,12,1,62
99學年,500人以上,-,-,-,-,-,281,83,39,43,116,146,76,12,1,57
98學年,總計,-,-,-,-,-,330,86,39,60,145,156,79,12,1,64
98學年,300人以上,-,-,-,-,-,302,84,39,51,128,153,79,12,1,61
98學年,500人以上,-,-,-,-,-,275,83,39,39,114,145,76,12,1,56
97學年,總計,-,-,-,-,-,321,86,39,55,141,156,79,12,1,64
97學年,300人以上,-,-,-,-,-,301,84,39,49,129,153,79,12,1,61
97學年,500人以上,-,-,-,-,-,272,83,39,37,113,143,76,12,1,54
""
