學年別,學校類別,總計,國立,直轄市立,縣市立,私立
102學年,總計,155,75,17,-,63
102學年,農業職校,4,4,-,-,-
102學年,農工職校,17,16,1,-,-
102學年,工業職校,28,17,8,-,3
102學年,工業家事職校,8,-,-,-,8
102學年,工商職校,48,11,4,-,33
102學年,商業職校,20,13,2,-,5
102學年,家商職校,20,7,2,-,11
102學年,家事職校,1,1,-,-,-
102學年,海事水產職校,5,5,-,-,-
102學年,劇藝,2,-,-,-,2
102學年,商業水產職校,2,1,-,-,1
101學年,總計,155,79,13,-,63
101學年,農業職校,4,4,-,-,-
101學年,農工職校,17,16,1,-,-
101學年,工業職校,28,19,6,-,3
101學年,工業家事職校,8,-,-,-,8
101學年,工商職校,48,13,2,-,33
101學年,商業職校,20,13,2,-,5
101學年,家商職校,20,7,2,-,11
101學年,家事職校,1,1,-,-,-
101學年,海事水產職校,5,5,-,-,-
101學年,劇藝,2,-,-,-,2
101學年,商業水產職校,2,1,-,-,1
100學年,總計,155,79,13,-,63
100學年,農業職校,4,4,-,-,-
100學年,農工職校,17,16,1,-,-
100學年,工業職校,28,19,6,-,3
100學年,工業家事職校,8,-,-,-,8
100學年,工商職校,48,13,2,-,33
100學年,商業職校,20,13,2,-,5
100學年,家商職校,20,7,2,-,11
100學年,家事職校,1,1,-,-,-
100學年,海事水產職校,5,5,-,-,-
100學年,劇藝,2,-,-,-,2
100學年,商業水產職校,2,1,-,-,1
99學年,總計,156,79,12,1,64
99學年,農業職校,4,4,-,-,-
99學年,農工職校,17,16,1,-,-
99學年,工業職校,28,19,6,-,3
99學年,工業家事職校,8,-,-,-,8
99學年,工商職校,49,13,1,1,34
99學年,商業職校,20,13,2,-,5
99學年,家商職校,20,7,2,-,11
99學年,家事職校,1,1,-,-,-
99學年,海事水產職校,5,5,-,-,-
99學年,劇藝,2,-,-,-,2
99學年,商業水產職校,2,1,-,-,1
98學年,總計,156,79,12,1,64
98學年,農業職校,4,4,-,-,-
98學年,農工職校,17,16,1,-,-
98學年,工業職校,28,19,6,-,3
98學年,工業家事職校,8,-,-,-,8
98學年,工商職校,49,13,1,1,34
98學年,商業職校,20,13,2,-,5
98學年,家商職校,20,7,2,-,11
98學年,家事職校,1,1,-,-,-
98學年,海事水產職校,5,5,-,-,-
98學年,劇藝,2,-,-,-,2
98學年,商業水產職校,2,1,-,-,1
97學年,總計,156,79,12,1,64
97學年,農業職校,4,4,-,-,-
97學年,農工職校,17,16,1,-,-
97學年,工業職校,28,19,6,-,3
97學年,工業家事職校,8,-,-,-,8
97學年,工商職校,49,13,1,1,34
97學年,商業職校,20,13,2,-,5
97學年,家商職校,20,7,2,-,11
97學年,家事職校,1,1,-,-,-
97學年,海事水產職校,5,5,-,-,-
97學年,劇藝,2,-,-,-,2
97學年,商業水產職校,2,1,-,-,1
""
