學年別,縣市別,總計,國立,直轄市立,縣市立,私立
102學年,總計,98,17,2,4,75
102學年,新北市,8,-,1,-,7
102學年,臺北市,8,-,-,-,8
102學年,臺中市,15,-,1,-,14
102學年,臺南市,9,3,-,-,6
102學年,高雄市,7,1,-,-,6
102學年,宜蘭縣,-,-,-,-,-
102學年,桃園縣,14,1,-,2,11
102學年,新竹縣,6,2,-,1,3
102學年,苗栗縣,3,2,-,-,1
102學年,彰化縣,2,1,-,-,1
102學年,南投縣,5,3,-,-,2
102學年,雲林縣,3,1,-,-,2
102學年,嘉義縣,2,1,-,-,1
102學年,屏東縣,3,-,-,-,3
102學年,臺東縣,1,-,-,-,1
102學年,花蓮縣,1,1,-,-,-
102學年,澎湖縣,1,1,-,-,-
102學年,基隆市,2,-,-,-,2
102學年,新竹市,5,-,-,1,4
102學年,嘉義市,3,-,-,-,3
102學年,金門縣,-,-,-,-,-
102學年,連江縣,-,-,-,-,-
101學年,總計,101,18,1,4,78
101學年,新北市,8,1,-,-,7
101學年,臺北市,8,-,-,-,8
101學年,臺中市,15,-,1,-,14
101學年,臺南市,10,3,-,-,7
101學年,高雄市,7,1,-,-,6
101學年,宜蘭縣,-,-,-,-,-
101學年,桃園縣,14,1,-,2,11
101學年,新竹縣,7,2,-,1,4
101學年,苗栗縣,4,2,-,-,2
101學年,彰化縣,2,1,-,-,1
101學年,南投縣,5,3,-,-,2
101學年,雲林縣,3,1,-,-,2
101學年,嘉義縣,2,1,-,-,1
101學年,屏東縣,3,-,-,-,3
101學年,臺東縣,1,-,-,-,1
101學年,花蓮縣,1,1,-,-,-
101學年,澎湖縣,1,1,-,-,-
101學年,基隆市,2,-,-,-,2
101學年,新竹市,5,-,-,1,4
101學年,嘉義市,3,-,-,-,3
101學年,金門縣,-,-,-,-,-
101學年,連江縣,-,-,-,-,-
100學年,總計,96,18,-,3,75
100學年,新北市,8,1,-,-,7
100學年,臺北市,8,-,-,-,8
100學年,臺中市,13,-,-,-,13
100學年,臺南市,10,3,-,-,7
100學年,高雄市,7,1,-,-,6
100學年,宜蘭縣,-,-,-,-,-
100學年,桃園縣,13,1,-,1,11
100學年,新竹縣,7,2,-,1,4
100學年,苗栗縣,4,2,-,-,2
100學年,彰化縣,2,1,-,-,1
100學年,南投縣,5,3,-,-,2
100學年,雲林縣,2,1,-,-,1
100學年,嘉義縣,2,1,-,-,1
100學年,屏東縣,3,-,-,-,3
100學年,臺東縣,1,-,-,-,1
100學年,花蓮縣,1,1,-,-,-
100學年,澎湖縣,1,1,-,-,-
100學年,基隆市,2,-,-,-,2
100學年,新竹市,5,-,-,1,4
100學年,嘉義市,2,-,-,-,2
100學年,金門縣,-,-,-,-,-
100學年,連江縣,-,-,-,-,-
99學年,總計,91,17,-,1,73
99學年,臺北市,8,-,-,-,8
99學年,高雄市,4,-,-,-,4
99學年,臺北縣,8,1,-,-,7
99學年,宜蘭縣,-,-,-,-,-
99學年,桃園縣,12,1,-,-,11
99學年,新竹縣,7,2,-,1,4
99學年,苗栗縣,4,2,-,-,2
99學年,臺中縣,8,-,-,-,8
99學年,彰化縣,2,1,-,-,1
99學年,南投縣,4,3,-,-,1
99學年,雲林縣,2,1,-,-,1
99學年,嘉義縣,2,1,-,-,1
99學年,臺南縣,3,1,-,-,2
99學年,高雄縣,3,1,-,-,2
99學年,屏東縣,3,-,-,-,3
99學年,臺東縣,1,-,-,-,1
99學年,花蓮縣,1,1,-,-,-
99學年,澎湖縣,1,1,-,-,-
99學年,基隆市,2,-,-,-,2
99學年,新竹市,4,-,-,-,4
99學年,臺中市,4,-,-,-,4
99學年,嘉義市,2,-,-,-,2
99學年,臺南市,6,1,-,-,5
99學年,金門縣,-,-,-,-,-
99學年,連江縣,-,-,-,-,-
98學年,總計,91,17,-,1,73
98學年,臺北市,8,-,-,-,8
98學年,高雄市,5,1,-,-,4
98學年,臺北縣,8,1,-,-,7
98學年,宜蘭縣,-,-,-,-,-
98學年,桃園縣,12,1,-,-,11
98學年,新竹縣,7,2,-,1,4
98學年,苗栗縣,4,2,-,-,2
98學年,臺中縣,8,-,-,-,8
98學年,彰化縣,2,1,-,-,1
98學年,南投縣,3,2,-,-,1
98學年,雲林縣,2,1,-,-,1
98學年,嘉義縣,2,1,-,-,1
98學年,臺南縣,3,1,-,-,2
98學年,高雄縣,3,1,-,-,2
98學年,屏東縣,3,-,-,-,3
98學年,臺東縣,-,-,-,-,-
98學年,花蓮縣,2,1,-,-,1
98學年,澎湖縣,1,1,-,-,-
98學年,基隆市,2,-,-,-,2
98學年,新竹市,4,-,-,-,4
98學年,臺中市,4,-,-,-,4
98學年,嘉義市,2,-,-,-,2
98學年,臺南市,6,1,-,-,5
98學年,金門縣,-,-,-,-,-
98學年,連江縣,-,-,-,-,-
97學年,總計,86,15,-,-,71
97學年,臺北市,8,-,-,-,8
97學年,高雄市,5,1,-,-,4
97學年,臺北縣,8,1,-,-,7
97學年,宜蘭縣,-,-,-,-,-
97學年,桃園縣,12,1,-,-,11
97學年,新竹縣,6,2,-,-,4
97學年,苗栗縣,2,1,-,-,1
97學年,臺中縣,8,-,-,-,8
97學年,彰化縣,2,1,-,-,1
97學年,南投縣,1,1,-,-,-
97學年,雲林縣,2,1,-,-,1
97學年,嘉義縣,2,1,-,-,1
97學年,臺南縣,3,1,-,-,2
97學年,高雄縣,3,1,-,-,2
97學年,屏東縣,3,-,-,-,3
97學年,臺東縣,-,-,-,-,-
97學年,花蓮縣,2,1,-,-,1
97學年,澎湖縣,1,1,-,-,-
97學年,基隆市,2,-,-,-,2
97學年,新竹市,4,-,-,-,4
97學年,臺中市,4,-,-,-,4
97學年,嘉義市,2,-,-,-,2
97學年,臺南市,6,1,-,-,5
97學年,金門縣,-,-,-,-,-
97學年,連江縣,-,-,-,-,-
""
