學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
105學年,總計,233642,121672,111970,64414,34087,30327,58313,30793,27520,4313,2111,2202,106602,54681,51921
105學年,新北市,27382,13812,13570,477,205,272,12765,6722,6043,-,-,-,14140,6885,7255
105學年,臺北市,32782,16589,16193,1295,754,541,18953,10161,8792,-,-,-,12534,5674,6860
105學年,桃園市,24721,13128,11593,6439,3352,3087,3256,1510,1746,-,-,-,15026,8266,6760
105學年,臺中市,32587,16955,15632,1523,800,723,11878,6596,5282,-,-,-,19186,9559,9627
105學年,臺南市,19075,10126,8949,9963,5464,4499,595,280,315,-,-,-,8517,4382,4135
105學年,高雄市,26874,14129,12745,4265,2328,1937,10866,5524,5342,-,-,-,11743,6277,5466
105學年,宜蘭縣,4169,2262,1907,3716,1957,1759,-,-,-,64,38,26,389,267,122
105學年,新竹縣,4312,2360,1952,1493,723,770,-,-,-,213,101,112,2606,1536,1070
105學年,苗栗縣,5536,2807,2729,2909,1422,1487,-,-,-,575,244,331,2052,1141,911
105學年,彰化縣,13123,6904,6219,8381,4440,3941,-,-,-,839,406,433,3903,2058,1845
105學年,南投縣,4541,2325,2216,3205,1635,1570,-,-,-,226,109,117,1110,581,529
105學年,雲林縣,6688,3678,3010,3421,1874,1547,-,-,-,378,181,197,2889,1623,1266
105學年,嘉義縣,3031,1795,1236,892,617,275,-,-,-,205,89,116,1934,1089,845
105學年,屏東縣,6392,3501,2891,3850,2237,1613,-,-,-,543,240,303,1999,1024,975
105學年,臺東縣,1691,843,848,1238,611,627,-,-,-,6,6,-,447,226,221
105學年,花蓮縣,3292,1790,1502,1914,1060,854,-,-,-,44,26,18,1334,704,630
105學年,澎湖縣,737,389,348,737,389,348,-,-,-,-,-,-,-,-,-
105學年,基隆市,3713,1873,1840,1823,798,1025,-,-,-,377,233,144,1513,842,671
105學年,新竹市,6315,3154,3161,2680,1381,1299,-,-,-,843,438,405,2792,1335,1457
105學年,嘉義市,6082,2949,3133,3594,1737,1857,-,-,-,-,-,-,2488,1212,1276
105學年,金門縣,501,250,251,501,250,251,-,-,-,-,-,-,-,-,-
105學年,連江縣,98,53,45,98,53,45,-,-,-,-,-,-,-,-,-
104學年,總計,250172,130842,119330,80292,42333,37959,53079,27194,25885,4253,2098,2155,112548,59217,53331
104學年,新北市,29037,15046,13991,530,251,279,13283,7157,6126,-,-,-,15224,7638,7586
