學年別,縣市別,總計計,總計男,總計女,普通科計,普通科男,普通科女,專業群(職業)科計,專業群(職業)科男,專業群(職業)科女
106學年,總計,41605,24544,17061,2268,1187,1081,39337,23357,15980
106學年,新北市,5336,2858,2478,684,180,504,4652,2678,1974
106學年,臺北市,5448,2728,2720,125,71,54,5323,2657,2666
106學年,桃園市,5965,3773,2192,244,176,68,5721,3597,2124
106學年,臺中市,6211,3952,2259,136,97,39,6075,3855,2220
106學年,臺南市,2540,1518,1022,186,141,45,2354,1377,977
106學年,高雄市,3556,1983,1573,156,27,129,3400,1956,1444
106學年,宜蘭縣,529,314,215,-,-,-,529,314,215
106學年,新竹縣,1241,774,467,83,54,29,1158,720,438
106學年,苗栗縣,934,458,476,-,-,-,934,458,476
106學年,彰化縣,3397,2251,1146,241,139,102,3156,2112,1044
106學年,南投縣,679,440,239,34,28,6,645,412,233
106學年,雲林縣,667,462,205,-,-,-,667,462,205
106學年,嘉義縣,502,290,212,143,62,81,359,228,131
106學年,屏東縣,1105,671,434,-,-,-,1105,671,434
106學年,臺東縣,257,134,123,-,-,-,257,134,123
106學年,花蓮縣,538,338,200,71,71,-,467,267,200
106學年,澎湖縣,-,-,-,-,-,-,-,-,-
106學年,基隆市,437,234,203,-,-,-,437,234,203
106學年,新竹市,1518,894,624,42,33,9,1476,861,615
106學年,嘉義市,693,440,253,123,108,15,570,332,238
106學年,金門縣,52,32,20,-,-,-,52,32,20
106學年,連江縣,-,-,-,-,-,-,-,-,-
105學年,總計,47321,27919,19402,2382,1244,1138,44939,26675,18264
105學年,新北市,6119,3290,2829,757,195,562,5362,3095,2267
105學年,臺北市,6294,3213,3081,169,93,76,6125,3120,3005
105學年,桃園市,7041,4478,2563,272,202,70,6769,4276,2493
105學年,臺中市,7160,4510,2650,121,89,32,7039,4421,2618
105學年,臺南市,2700,1593,1107,187,142,45,2513,1451,1062
105學年,高雄市,4136,2332,1804,187,40,147,3949,2292,1657
