學年別,設立別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計延修生小計,總計延修生男,總計延修生女,普通科計小計,普通科計男,普通科計女,普通科1年級小計,普通科1年級男,普通科1年級女,普通科2年級小計,普通科2年級男,普通科2年級女,普通科3年級小計,普通科3年級男,普通科3年級女,普通科延修生小計,普通科延修生男,普通科延修生女,專業群(職業)科計小計,專業群(職業)科計男,專業群(職業)科計女,專業群(職業)科1年級小計,專業群(職業)科1年級男,專業群(職業)科1年級女,專業群(職業)科2年級小計,專業群(職業)科2年級男,專業群(職業)科2年級女,專業群(職業)科3年級小計,專業群(職業)科3年級男,專業群(職業)科3年級女,專業群(職業)科延修生小計,專業群(職業)科延修生男,專業群(職業)科延修生女
106學年,總計,41605,24544,17061,13576,8389,5187,13768,8001,5767,14261,8154,6107,-,-,-,2268,1187,1081,777,440,337,775,407,368,716,340,376,-,-,-,39337,23357,15980,12799,7949,4850,12993,7594,5399,13545,7814,5731,-,-,-
106學年,國立,9698,6183,3515,3714,2523,1191,2973,1856,1117,3011,1804,1207,-,-,-,343,248,95,115,90,25,115,82,33,113,76,37,-,-,-,9355,5935,3420,3599,2433,1166,2858,1774,1084,2898,1728,1170,-,-,-
106學年,直轄市立,6240,4067,2173,2256,1552,704,2044,1311,733,1940,1204,736,-,-,-,898,246,652,307,96,211,290,73,217,301,77,224,-,-,-,5342,3821,1521,1949,1456,493,1754,1238,516,1639,1127,512,-,-,-
106學年,縣市立,297,174,123,145,92,53,114,69,45,38,13,25,-,-,-,283,172,111,145,92,53,114,69,45,24,11,13,-,-,-,14,2,12,-,-,-,-,-,-,14,2,12,-,-,-
106學年,私立,25370,14120,11250,7461,4222,3239,8637,4765,3872,9272,5133,4139,-,-,-,744,521,223,210,162,48,256,183,73,278,176,102,-,-,-,24626,13599,11027,7251,4060,3191,8381,4582,3799,8994,4957,4037,-,-,-
105學年,總計,47321,27919,19402,16418,9997,6421,15464,8996,6468,15439,8926,6513,-,-,-,2382,1244,1138,860,460,400,766,383,383,756,401,355,-,-,-,44939,26675,18264,15558,9537,6021,14698,8613,6085,14683,8525,6158,-,-,-
105學年,國立,12845,8235,4610,5292,3573,1719,4025,2498,1527,3528,2164,1364,-,-,-,355,244,111,136,100,36,115,75,40,104,69,35,-,-,-,12490,7991,4499,5156,3473,1683,3910,2423,1487,3424,2095,1329,-,-,-
105學年,直轄市立,5095,3186,1909,1905,1239,666,1568,972,596,1622,975,647,-,-,-,994,269,725,360,102,258,311,85,226,323,82,241,-,-,-,4101,2917,1184,1545,1137,408,1257,887,370,1299,893,406,-,-,-
105學年,縣市立,273,171,102,138,85,53,99,61,38,36,25,11,-,-,-,258,169,89,138,85,53,84,59,25,36,25,11,-,-,-,15,2,13,-,-,-,15,2,13,-,-,-,-,-,-
105學年,私立,29108,16327,12781,9083,5100,3983,9772,5465,4307,10253,5762,4491,-,-,-,775,562,213,226,173,53,256,164,92,293,225,68,-,-,-,28333,15765,12568,8857,4927,3930,9516,5301,4215,9960,5537,4423,-,-,-
104學年,總計,52349,30997,21352,17861,10875,6986,16919,9932,6987,17569,10190,7379,-,-,-,2446,1286,1160,864,470,394,834,456,378,748,360,388,-,-,-,49903,29711,20192,16997,10405,6592,16085,9476,6609,16821,9830,6991,-,-,-
104學年,國立,14439,9140,5299,5796,3875,1921,4250,2674,1576,4393,2591,1802,-,-,-,603,431,172,267,195,72,183,132,51,153,104,49,-,-,-,13836,8709,5127,5529,3680,1849,4067,2542,1525,4240,2487,1753,-,-,-
104學年,直轄市立,5858,3633,2225,2030,1312,718,1821,1121,700,2007,1200,807,-,-,-,1052,285,767,360,114,246,346,88,258,346,83,263,-,-,-,4806,3348,1458,1670,1198,472,1475,1033,442,1661,1117,544,-,-,-
104學年,縣市立,91,43,48,38,13,25,25,15,10,28,15,13,-,-,-,71,41,30,18,11,7,25,15,10,28,15,13,-,-,-,20,2,18,20,2,18,-,-,-,-,-,-,-,-,-
104學年,私立,31961,18181,13780,9997,5675,4322,10823,6122,4701,11141,6384,4757,-,-,-,720,529,191,219,150,69,280,221,59,221,158,63,-,-,-,31241,17652,13589,9778,5525,4253,10543,5901,4642,10920,6226,4694,-,-,-
103學年,總計,58933,34787,24146,19657,12020,7637,19271,11353,7918,20005,11414,8591,-,-,-,2745,1442,1303,1036,597,439,838,411,427,871,434,437,-,-,-,56188,33345,22843,18621,11423,7198,18433,10942,7491,19134,10980,8154,-,-,-
103學年,國立,16231,10015,6216,6114,4089,2025,5047,3052,1995,5070,2874,2196,-,-,-,767,529,238,360,258,102,223,152,71,184,119,65,-,-,-,15464,9486,5978,5754,3831,1923,4824,2900,1924,4886,2755,2131,-,-,-
103學年,直轄市立,5998,3741,2257,2244,1461,783,2171,1321,850,1583,959,624,-,-,-,1102,285,817,380,108,272,366,87,279,356,90,266,-,-,-,4896,3456,1440,1864,1353,511,1805,1234,571,1227,869,358,-,-,-
103學年,縣市立,111,57,54,35,22,13,26,15,11,50,20,30,-,-,-,97,54,43,35,22,13,26,15,11,36,17,19,-,-,-,14,3,11,-,-,-,-,-,-,14,3,11,-,-,-
103學年,私立,36593,20974,15619,11264,6448,4816,12027,6965,5062,13302,7561,5741,-,-,-,779,574,205,261,209,52,223,157,66,295,208,87,-,-,-,35814,20400,15414,11003,6239,4764,11804,6808,4996,13007,7353,5654,-,-,-
102學年,總計,66909,39294,27615,22329,13726,8603,21874,12633,9241,22681,12919,9762,25,16,9,3062,1499,1563,1025,511,514,974,468,506,1063,520,543,-,-,-,63847,37795,26052,21304,13215,8089,20900,12165,8735,21618,12399,9219,25,16,9
102學年,國立,18855,11260,7595,7016,4570,2446,5932,3443,2489,5907,3247,2660,-,-,-,801,512,289,360,249,111,271,160,111,170,103,67,-,-,-,18054,10748,7306,6656,4321,2335,5661,3283,2378,5737,3144,2593,-,-,-
102學年,直轄市立,6348,3855,2493,2762,1753,1009,1731,1052,679,1855,1050,805,-,-,-,1254,297,957,463,113,350,375,90,285,416,94,322,-,-,-,5094,3558,1536,2299,1640,659,1356,962,394,1439,956,483,-,-,-
102學年,縣市立,132,65,67,34,22,12,57,27,30,41,16,25,-,-,-,103,58,45,34,22,12,38,21,17,31,15,16,-,-,-,29,7,22,-,-,-,19,6,13,10,1,9,-,-,-
102學年,私立,41574,24114,17460,12517,7381,5136,14154,8111,6043,14878,8606,6272,25,16,9,904,632,272,168,127,41,290,197,93,446,308,138,-,-,-,40670,23482,17188,12349,7254,5095,13864,7914,5950,14432,8298,6134,25,16,9
101學年,總計,74698,43644,31054,25939,15587,10352,24630,14221,10409,24058,13788,10270,71,48,23,3498,1803,1695,1178,621,557,1159,560,599,1161,622,539,-,-,-,71200,41841,29359,24761,14966,9795,23471,13661,9810,22897,13166,9731,71,48,23
101學年,國立,23609,13917,9692,9184,5784,3400,7433,4218,3215,6992,3915,3077,-,-,-,843,535,308,434,302,132,239,137,102,170,96,74,-,-,-,22766,13382,9384,8750,5482,3268,7194,4081,3113,6822,3819,3003,-,-,-
101學年,直轄市立,3942,2098,1844,1362,762,600,1254,652,602,1326,684,642,-,-,-,1346,368,978,454,119,335,435,105,330,457,144,313,-,-,-,2596,1730,866,908,643,265,819,547,272,869,540,329,-,-,-
101學年,縣市立,176,84,92,78,38,40,58,23,35,40,23,17,-,-,-,139,74,65,52,30,22,47,21,26,40,23,17,-,-,-,37,10,27,26,8,18,11,2,9,-,-,-,-,-,-
101學年,私立,46971,27545,19426,15315,9003,6312,15885,9328,6557,15700,9166,6534,71,48,23,1170,826,344,238,170,68,438,297,141,494,359,135,-,-,-,45801,26719,19082,15077,8833,6244,15447,9031,6416,15206,8807,6399,71,48,23
100學年,總計,82763,48165,34598,29848,17890,11958,26100,15180,10920,26758,15054,11704,57,41,16,3916,2079,1837,1353,704,649,1249,689,560,1314,686,628,-,-,-,78847,46086,32761,28495,17186,11309,24851,14491,10360,25444,14368,11076,57,41,16
100學年,國立,27086,15518,11568,10259,6292,3967,7896,4507,3389,8931,4719,4212,-,-,-,897,563,334,432,285,147,266,159,107,199,119,80,-,-,-,26189,14955,11234,9827,6007,3820,7630,4348,3282,8732,4600,4132,-,-,-
100學年,直轄市立,4414,2327,2087,1550,828,722,1420,759,661,1444,740,704,-,-,-,1439,435,1004,522,150,372,468,154,314,449,131,318,-,-,-,2975,1892,1083,1028,678,350,952,605,347,995,609,386,-,-,-
100學年,縣市立,200,95,105,73,34,39,49,29,20,78,32,46,-,-,-,180,88,92,53,27,26,49,29,20,78,32,46,-,-,-,20,7,13,20,7,13,-,-,-,-,-,-,-,-,-
