學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,高中進修學校計,高中進修學校國立,高中進修學校直轄市立,高中進修學校縣市立,高中進修學校私立,職業進修學校計,職業進修學校國立,職業進修學校直轄市立,職業進修學校縣市立,職業進修學校私立
102學年,總計,223,82,27,4,110,28,5,12,2,9,202,79,15,2,106
102學年,新北市,31,-,16,-,15,10,-,10,-,-,21,-,6,-,15
102學年,臺北市,24,1,5,-,18,3,-,-,-,3,22,1,5,-,16
102學年,臺中市,22,10,1,-,11,2,-,1,-,1,21,10,-,-,11
102學年,臺南市,23,13,-,-,10,2,1,-,-,1,21,12,-,-,9
102學年,高雄市,19,2,5,-,12,1,-,1,-,-,18,2,4,-,12
102學年,宜蘭縣,7,6,-,1,-,-,-,-,-,-,7,6,-,1,-
102學年,桃園縣,17,5,-,-,12,2,-,-,-,2,17,5,-,-,12
102學年,新竹縣,6,1,-,-,5,2,1,-,-,1,6,1,-,-,5
102學年,苗栗縣,7,2,-,-,5,-,-,-,-,-,7,2,-,-,5
102學年,彰化縣,15,12,-,-,3,1,1,-,-,-,14,11,-,-,3
102學年,南投縣,7,6,-,-,1,1,1,-,-,-,7,6,-,-,1
102學年,雲林縣,6,3,-,1,2,1,-,-,1,-,5,3,-,-,2
102學年,嘉義縣,3,1,-,-,2,-,-,-,-,-,3,1,-,-,2
102學年,屏東縣,8,3,-,-,5,-,-,-,-,-,8,3,-,-,5
102學年,臺東縣,4,3,-,1,-,-,-,-,-,-,4,3,-,1,-
102學年,花蓮縣,6,4,-,-,2,1,-,-,-,1,5,4,-,-,1
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,5,3,-,-,2,-,-,-,-,-,5,3,-,-,2
102學年,新竹市,6,2,-,1,3,1,-,-,1,-,5,2,-,-,3
102學年,嘉義市,6,4,-,-,2,1,1,-,-,-,5,3,-,-,2
102學年,金門縣,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,224,87,18,4,115,28,5,12,2,9,203,84,6,2,111
101學年,新北市,31,5,11,-,15,10,-,10,-,-,21,5,1,-,15
101學年,臺北市,20,1,1,-,18,3,-,-,-,3,18,1,1,-,16
101學年,臺中市,23,10,1,-,12,2,-,1,-,1,22,10,-,-,12
101學年,臺南市,24,13,-,-,11,2,1,-,-,1,22,12,-,-,10
101學年,高雄市,19,2,5,-,12,1,-,1,-,-,18,2,4,-,12
101學年,宜蘭縣,7,6,-,1,-,-,-,-,-,-,7,6,-,1,-
101學年,桃園縣,18,5,-,-,13,2,-,-,-,2,18,5,-,-,13
101學年,新竹縣,6,1,-,-,5,1,1,-,-,-,6,1,-,-,5
101學年,苗栗縣,7,2,-,-,5,-,-,-,-,-,7,2,-,-,5
101學年,彰化縣,15,12,-,-,3,1,1,-,-,-,14,11,-,-,3
101學年,南投縣,7,6,-,-,1,1,1,-,-,-,7,6,-,-,1
101學年,雲林縣,7,3,-,1,3,1,-,-,1,-,6,3,-,-,3
101學年,嘉義縣,3,1,-,-,2,-,-,-,-,-,3,1,-,-,2
101學年,屏東縣,8,3,-,-,5,-,-,-,-,-,8,3,-,-,5
101學年,臺東縣,4,3,-,1,-,-,-,-,-,-,4,3,-,1,-
101學年,花蓮縣,7,4,-,-,3,1,-,-,-,1,6,4,-,-,2
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,5,3,-,-,2,-,-,-,-,-,5,3,-,-,2
101學年,新竹市,6,2,-,1,3,1,-,-,1,-,5,2,-,-,3
101學年,嘉義市,6,4,-,-,2,2,1,-,-,1,5,3,-,-,2
101學年,金門縣,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,225,87,18,3,117,30,5,12,2,11,203,84,6,1,112
100學年,新北市,31,5,11,-,15,10,-,10,-,-,21,5,1,-,15
100學年,臺北市,20,1,1,-,18,4,-,-,-,4,18,1,1,-,16
100學年,臺中市,23,10,1,-,12,2,-,1,-,1,22,10,-,-,12
100學年,臺南市,25,13,-,-,12,2,1,-,-,1,23,12,-,-,11
100學年,高雄市,19,2,5,-,12,1,-,1,-,-,18,2,4,-,12
100學年,宜蘭縣,6,6,-,-,-,-,-,-,-,-,6,6,-,-,-
100學年,桃園縣,19,5,-,-,14,3,-,-,-,3,18,5,-,-,13
100學年,新竹縣,6,1,-,-,5,1,1,-,-,-,6,1,-,-,5
100學年,苗栗縣,7,2,-,-,5,-,-,-,-,-,7,2,-,-,5
100學年,彰化縣,15,12,-,-,3,1,1,-,-,-,14,11,-,-,3
100學年,南投縣,7,6,-,-,1,1,1,-,-,-,7,6,-,-,1
100學年,雲林縣,7,3,-,1,3,1,-,-,1,-,6,3,-,-,3
100學年,嘉義縣,3,1,-,-,2,-,-,-,-,-,3,1,-,-,2
100學年,屏東縣,8,3,-,-,5,-,-,-,-,-,8,3,-,-,5
100學年,臺東縣,4,3,-,1,-,-,-,-,-,-,4,3,-,1,-
100學年,花蓮縣,7,4,-,-,3,1,-,-,-,1,6,4,-,-,2
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,5,3,-,-,2,-,-,-,-,-,5,3,-,-,2
100學年,新竹市,6,2,-,1,3,1,-,-,1,-,5,2,-,-,3
100學年,嘉義市,6,4,-,-,2,2,1,-,-,1,5,3,-,-,2
100學年,金門縣,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,223,86,6,14,117,31,6,1,12,12,202,83,5,2,112
99學年,臺北市,20,1,1,-,18,4,-,-,-,4,18,1,1,-,16
99學年,高雄市,11,-,5,-,6,1,-,1,-,-,10,-,4,-,6
99學年,臺北縣,31,5,-,11,15,10,-,-,10,-,21,5,-,1,15
99學年,宜蘭縣,6,6,-,-,-,-,-,-,-,-,6,6,-,-,-
99學年,桃園縣,19,5,-,-,14,3,-,-,-,3,18,5,-,-,13
99學年,新竹縣,6,1,-,-,5,2,1,-,-,1,6,1,-,-,5
99學年,苗栗縣,7,2,-,-,5,-,-,-,-,-,7,2,-,-,5
99學年,臺中縣,14,6,-,-,8,-,-,-,-,-,14,6,-,-,8
99學年,彰化縣,15,12,-,-,3,1,1,-,-,-,14,11,-,-,3
99學年,南投縣,7,6,-,-,1,1,1,-,-,-,7,6,-,-,1
99學年,雲林縣,7,3,-,1,3,1,-,-,1,-,6,3,-,-,3
99學年,嘉義縣,3,1,-,-,2,-,-,-,-,-,3,1,-,-,2
99學年,臺南縣,16,9,-,-,7,2,1,-,-,1,15,9,-,-,6
99學年,高雄縣,7,2,-,-,5,-,-,-,-,-,7,2,-,-,5
99學年,屏東縣,8,3,-,-,5,-,-,-,-,-,8,3,-,-,5
99學年,臺東縣,4,3,-,1,-,-,-,-,-,-,4,3,-,1,-
99學年,花蓮縣,7,4,-,-,3,1,-,-,-,1,6,4,-,-,2
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,5,3,-,-,2,-,-,-,-,-,5,3,-,-,2
99學年,新竹市,6,2,-,1,3,1,-,-,1,-,5,2,-,-,3
99學年,臺中市,8,4,-,-,4,1,-,-,-,1,8,4,-,-,4
99學年,嘉義市,6,4,-,-,2,2,1,-,-,1,5,3,-,-,2
99學年,臺南市,10,4,-,-,6,1,1,-,-,-,9,3,-,-,6
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
