學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,普通科計,普通科國立,普通科直轄市立,普通科縣市立,普通科私立,專業群(職業)科計,專業群(職業)科國立,專業群(職業)科直轄市立,專業群(職業)科縣市立,專業群(職業)科私立
106學年,總計,1650,499,287,14,850,93,17,41,13,22,1557,482,246,1,828
106學年,新北市,204,-,104,-,100,32,-,32,-,-,172,-,72,-,100
106學年,臺北市,181,-,47,-,134,4,-,-,-,4,177,-,47,-,130
106學年,桃園市,196,42,-,-,154,6,-,-,-,6,190,42,-,-,148
106學年,臺中市,237,18,84,-,135,6,-,3,-,3,231,18,81,-,132
106學年,臺南市,127,74,-,-,53,8,5,-,-,3,119,69,-,-,50
106學年,高雄市,172,31,52,-,89,6,-,6,-,-,166,31,46,-,89
106學年,宜蘭縣,31,30,-,1,-,-,-,-,-,-,31,30,-,1,-
106學年,新竹縣,39,6,-,-,33,3,3,-,-,-,36,3,-,-,33
106學年,苗栗縣,43,15,-,-,28,-,-,-,-,-,43,15,-,-,28
106學年,彰化縣,131,108,-,10,13,10,-,-,10,-,121,108,-,-,13
106學年,南投縣,38,37,-,-,1,3,3,-,-,-,35,34,-,-,1
106學年,雲林縣,22,9,-,-,13,-,-,-,-,-,22,9,-,-,13
106學年,嘉義縣,16,6,-,-,10,3,-,-,-,3,13,6,-,-,7
106學年,屏東縣,52,25,-,-,27,-,-,-,-,-,52,25,-,-,27
106學年,臺東縣,15,15,-,-,-,-,-,-,-,-,15,15,-,-,-
106學年,花蓮縣,32,23,-,-,9,3,-,-,-,3,29,23,-,-,6
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,21,17,-,-,4,-,-,-,-,-,21,17,-,-,4
106學年,新竹市,56,15,-,3,38,3,-,-,3,-,53,15,-,-,38
106學年,嘉義市,35,26,-,-,9,6,6,-,-,-,29,20,-,-,9
