學年別,設立別,總計計,總計1年級,總計2年級,總計3年級,普通科計,普通科1年級,普通科2年級,普通科3年級,專業群(職業)科計,專業群(職業)科1年級,專業群(職業)科2年級,專業群(職業)科3年級
106學年,總計,1650,517,557,576,93,29,33,31,1557,488,524,545
106學年,國立,499,159,168,172,17,5,6,6,482,154,162,166
106學年,直轄市立,287,90,97,100,41,13,14,14,246,77,83,86
106學年,縣市立,14,5,5,4,13,5,5,3,1,-,-,1
106學年,私立,850,263,287,300,22,6,8,8,828,257,279,292
105學年,總計,1788,564,577,647,97,31,31,35,1691,533,546,612
105學年,國立,607,196,199,212,20,6,6,8,587,190,193,204
105學年,直轄市立,224,70,73,81,43,14,14,15,181,56,59,66
105學年,縣市立,12,4,4,4,11,4,3,4,1,-,1,-
105學年,私立,945,294,301,350,23,7,8,8,922,287,293,342
104學年,總計,1923,589,650,684,99,31,34,34,1824,558,616,650
104學年,國立,642,204,215,223,27,9,10,8,615,195,205,215
104學年,直轄市立,242,73,81,88,45,14,15,16,197,59,66,72
104學年,縣市立,6,2,2,2,5,1,2,2,1,1,-,-
104學年,私立,1033,310,352,371,22,7,7,8,1011,303,345,363
103學年,總計,2092,669,695,728,110,37,36,37,1982,632,659,691
103學年,國立,697,225,229,243,32,13,10,9,665,212,219,234
103學年,直轄市立,240,81,89,70,49,15,16,18,191,66,73,52
103學年,縣市立,7,2,2,3,6,2,2,2,1,-,-,1
103學年,私立,1148,361,375,412,23,7,8,8,1125,354,367,404
102學年,總計,2248,710,739,799,119,37,39,43,2129,673,700,756
102學年,國立,745,236,248,261,33,12,11,10,712,224,237,251
102學年,直轄市立,235,90,70,75,53,17,18,18,182,73,52,57
102學年,縣市立,8,2,3,3,6,2,2,2,2,-,1,1
102學年,私立,1260,382,418,460,27,6,8,13,1233,376,410,447
101學年,總計,2387,759,807,821,133,43,44,46,2254,716,763,775
101學年,國立,857,276,291,290,35,13,12,10,822,263,279,280
101學年,直轄市立,152,48,49,55,56,19,18,19,96,29,31,36
101學年,縣市立,9,3,3,3,7,2,2,3,2,1,1,-
101學年,私立,1369,432,464,473,35,9,12,14,1334,423,452,459
100學年,總計,2515,835,833,847,137,44,47,46,2378,791,786,801
100學年,國立,889,295,293,301,36,14,12,10,853,281,281,291
100學年,直轄市立,156,49,56,51,54,18,19,17,102,31,37,34
100學年,縣市立,9,3,3,3,8,2,3,3,1,1,-,-
100學年,私立,1461,488,481,492,39,10,13,16,1422,478,468,476
99學年,總計,2595,862,853,880,146,49,48,49,2449,813,805,831
99學年,國立,910,298,303,309,37,14,12,11,873,284,291,298
99學年,直轄市立,109,38,35,36,9,3,3,3,100,35,32,33
99學年,縣市立,59,21,19,19,52,19,17,16,7,2,2,3
99學年,私立,1517,505,496,516,48,13,16,19,1469,492,480,497
98學年,總計,2665,880,886,899,150,51,52,47,2515,829,834,852
98學年,國立,934,308,313,313,40,15,14,11,894,293,299,302
98學年,直轄市立,108,35,35,38,9,3,3,3,99,32,32,35
98學年,縣市立,58,20,19,19,51,18,16,17,7,2,3,2
98學年,私立,1565,517,519,529,50,15,19,16,1515,502,500,513
97學年,總計,2740,911,910,919,149,54,49,46,2591,857,861,873
97學年,國立,943,316,316,311,41,16,14,11,902,300,302,300
97學年,直轄市立,109,35,38,36,9,3,3,3,100,32,35,33
97學年,縣市立,58,19,19,20,51,16,17,18,7,3,2,2
97學年,私立,1630,541,537,552,48,19,15,14,1582,522,522,538
""
