學年別,縣市別,總計計,總計男,總計女,普通科計,普通科男,普通科女,專業群(職業)科計,專業群(職業)科男,專業群(職業)科女
105學年,總計,14549,8345,6204,728,378,350,13821,7967,5854
105學年,新北市,1897,978,919,244,59,185,1653,919,734
105學年,臺北市,2246,1161,1085,81,43,38,2165,1118,1047
105學年,桃園市,2238,1419,819,91,79,12,2147,1340,807
105學年,臺中市,2248,1335,913,29,22,7,2219,1313,906
105學年,臺南市,811,466,345,57,43,14,754,423,331
105學年,高雄市,1266,696,570,63,12,51,1203,684,519
105學年,宜蘭縣,155,89,66,-,-,-,155,89,66
105學年,新竹縣,399,236,163,24,9,15,375,227,148
105學年,苗栗縣,374,191,183,-,-,-,374,191,183
105學年,彰化縣,876,574,302,1,-,1,875,574,301
105學年,南投縣,219,116,103,8,7,1,211,109,102
105學年,雲林縣,200,121,79,15,9,6,185,112,73
105學年,嘉義縣,142,96,46,42,32,10,100,64,36
105學年,屏東縣,346,196,150,-,-,-,346,196,150
105學年,臺東縣,83,44,39,-,-,-,83,44,39
105學年,花蓮縣,178,118,60,28,28,-,150,90,60
105學年,澎湖縣,-,-,-,-,-,-,-,-,-
105學年,基隆市,164,80,84,-,-,-,164,80,84
105學年,新竹市,451,272,179,10,5,5,441,267,174
105學年,嘉義市,244,151,93,35,30,5,209,121,88
105學年,金門縣,12,6,6,-,-,-,12,6,6
105學年,連江縣,-,-,-,-,-,-,-,-,-
104學年,總計,16629,9608,7021,745,349,396,15884,9259,6625
104學年,新北市,2221,1219,1002,283,62,221,1938,1157,781
104學年,臺北市,2541,1327,1214,127,75,52,2414,1252,1162
104學年,桃園市,2397,1453,944,-,-,-,2397,1453,944
104學年,臺中市,2601,1562,1039,26,13,13,2575,1549,1026
104學年,臺南市,845,524,321,92,67,25,753,457,296
104學年,高雄市,1506,869,637,58,16,42,1448,853,595
104學年,宜蘭縣,223,117,106,-,-,-,223,117,106
104學年,新竹縣,429,261,168,43,20,23,386,241,145
104學年,苗栗縣,421,211,210,-,-,-,421,211,210
104學年,彰化縣,1114,689,425,-,-,-,1114,689,425
104學年,南投縣,293,166,127,12,8,4,281,158,123
104學年,雲林縣,236,144,92,19,10,9,217,134,83
104學年,嘉義縣,121,73,48,-,-,-,121,73,48
104學年,屏東縣,408,246,162,-,-,-,408,246,162
104學年,臺東縣,82,46,36,-,-,-,82,46,36
104學年,花蓮縣,176,106,70,26,26,-,150,80,70
104學年,澎湖縣,-,-,-,-,-,-,-,-,-
104學年,基隆市,194,99,95,-,-,-,194,99,95
104學年,新竹市,565,314,251,10,6,4,555,308,247
104學年,嘉義市,243,177,66,49,46,3,194,131,63
104學年,金門縣,13,5,8,-,-,-,13,5,8
104學年,連江縣,-,-,-,-,-,-,-,-,-
103學年,總計,19062,10770,8292,820,387,433,18242,10383,7859
103學年,新北市,2573,1391,1182,265,57,208,2308,1334,974
103學年,臺北市,2650,1401,1249,224,138,86,2426,1263,1163
103學年,桃園市,2766,1634,1132,-,-,-,2766,1634,1132
103學年,臺中市,3147,1784,1363,35,18,17,3112,1766,1346
103學年,臺南市,982,572,410,61,33,28,921,539,382
103學年,高雄市,1644,889,755,59,18,41,1585,871,714
103學年,宜蘭縣,309,170,139,-,-,-,309,170,139
103學年,新竹縣,548,330,218,31,15,16,517,315,202
103學年,苗栗縣,474,236,238,-,-,-,474,236,238
103學年,彰化縣,1283,745,538,-,-,-,1283,745,538
